sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
sequence,flow.Sequence,4_6,2023-11-20T15:20:53.810Z,,,,,,,,,,,4791.255999952322,completion,,,,,,,low,low,,,,,,true,,,,,false,128244.89999997616,128243.79999995232,123435.9,123645.10000002384,123452.544,128061.577,1,16,,
trial,html.Screen,4_7_0,2023-11-20T15:21:01.436Z,,,,0,1.2600330864275875,1.0958628838888655,,,true,ll,7808.922999999995,response,-1.0849202097813322,1.2,-1.2,-1.0851127310415287,1.2,-1.2,low,low,,ISIC_0026996.JPG,,ISIC_0010289.JPG,40,true,0.14,ll,keypress(f),100,false,135871,135870.5,128045.039,128245.20000004768,128061.577,135726.396,1,16,8,
sequence,flow.Sequence,4_7,2023-11-20T15:21:01.436Z,,,,,,,,,,,7808.922999999995,completion,,,,,,,low,low,,,,,,true,,,,,false,135871.60000002384,135870.5,128045.039,128245.10000002384,128061.577,135726.396,1,16,,
trial,html.Screen,4_8_0,2023-11-20T15:21:09.553Z,,,,0,0.7882758084023446,-0.8296405881378283,,,true,lh,8261.603999999992,response,-1.2020012168275056,1.2,-1.2,0.923753102263735,1.2,-1.2,low,high,,ISIC_0065882.JPG,,ISIC_0000022.JPG,27,true,0.40000000000000024,lh,keypress(e),100,false,143988.5,143988,135659.642,135871.89999997616,135726.396,143825.487,1,16,9,
sequence,flow.Sequence,4_8,2023-11-20T15:21:09.554Z,,,,,,,,,,,8261.603999999992,completion,,,,,,,low,high,,,,,,true,,,,,false,143989.29999995232,143988,135659.642,135871.89999997616,135726.396,143825.487,1,16,,
trial,html.Screen,4_9_0,2023-11-20T15:21:16.390Z,,,,0,1.2054195059663604,-0.7760611240296147,,,true,lh,6999.812999952323,response,-0.9198276163642348,1.2,-1.2,0.7754915110667046,1.2,-1.2,low,high,,ISIC_8712559.JPG,,ISIC_7840728.JPG,40,true,0.4500000000000003,lh,keypress(e),100,false,150825.70000004768,150825.29999995232,143775.494,143989.5,143825.487,150638.769,1,16,10,
sequence,flow.Sequence,4_9,2023-11-20T15:21:16.391Z,,,,,,,,,,,6999.812999952323,completion,,,,,,,low,high,,,,,,true,,,,,false,150826.39999997616,150825.29999995232,143775.494,143989.39999997616,143825.487,150638.769,1,16,,
trial,html.Screen,4_10_0,2023-11-20T15:21:21.997Z,,,,0,1.0369885917487718,-0.8486937878412699,,,true,lh,5793.130999976158,response,-1.0116417541846066,1.2,-1.2,1.033442916947398,1.2,-1.2,low,high,,ISIC_6917681.JPG,,ISIC_0031389.JPG,40,true,0.4500000000000003,lh,keypress(e),100,false,156432.39999997616,156431.89999997616,150622.124,150826.60000002384,150638.769,156266.368,1,16,11,
sequence,flow.Sequence,4_10,2023-11-20T15:21:21.998Z,,,,,,,,,,,5793.130999976158,completion,,,,,,,low,high,,,,,,true,,,,,false,156433,156431.89999997616,150622.124,150826.5,150638.769,156266.368,1,16,,
trial,html.Screen,4_11_0,2023-11-20T15:21:27.567Z,,,,0,1.2578167348825195,-0.8371819698254004,,,true,lh,5735.632000000012,response,-0.9617893983965208,1.2,-1.2,0.9453006131304652,1.2,-1.2,low,high,,ISIC_9613570.JPG,,ISIC_4229473.JPG,40,true,0.4500000000000003,lh,keypress(e),100,false,162002.29999995232,162002,156233.06,156433.39999997616,156266.368,161827.196,1,16,12,
sequence,flow.Sequence,4_11,2023-11-20T15:21:27.567Z,,,,,,,,,,,5735.632000000012,completion,,,,,,,low,high,,,,,,true,,,,,false,162002.79999995232,162002,156233.06,156433.29999995232,156266.368,161827.196,1,16,,
trial,html.Screen,4_12_0,2023-11-20T15:21:32.560Z,,,,0,-1.0116417541846066,1.033442916947398,,,true,hl,5167.304000000004,response,0.8472024037189965,1.2,-1.2,-0.986370061404882,1.2,-1.2,high,low,,ISIC_0031389.JPG,,ISIC_0054355.JPG,26,true,0.4500000000000003,hl,keypress(j),100,false,166994.89999997616,166994.5,161793.876,162003.10000002384,161827.196,166820.255,1,16,13,
