mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.412281227111817,0.13669924599475738,0.3318317413330078,0.023086956855957443,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8283259277715488,0.8262980496380272,0.8283345791287737,0.8249311351964896,0.8309750267378753,0.827772943694543,0.0020555169463838227,1
20.271221113204955,1.7646469662316706,0.7431907653808594,0.05252842006642099,1000.0,0.01,rbf,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}",0.829170300236701,0.8289246016915134,0.8251231953268829,0.8249242141107096,0.8299159121992314,0.8276116447130077,0.00213904536214113,2
5.682639122009277,0.11919958250340108,0.33978824615478515,0.008887309907810514,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.8268984538294368,0.8285127970876072,0.8269503619727863,0.8229741981922124,0.8297529715009785,0.8270177565166043,0.0022841053565083413,3
5.532901620864868,0.6074488700593336,0.40585918426513673,0.022478971976589632,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.8260748446216243,0.8285923895740764,0.8249259443821547,0.8215173096355356,0.8312541060189255,0.8264729188464633,0.003300350365535793,4
7.05272331237793,0.3266273159653586,0.5298083305358887,0.04762620926471442,0.01,auto,rbf,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.8264364713536259,0.8249294049250446,0.8232164361945101,0.8210639785169497,0.8280472944043737,0.8247387170789008,0.0024366558206000183,5
7.085659837722778,0.24702270341097304,0.5245573043823242,0.02667164661672694,0.01,scale,rbf,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.8264710767825256,0.825002076325734,0.8231143501792562,0.8210570574311699,0.827974491113665,0.8247238103664701,0.002438554341231849,6
5.06489520072937,0.20553130309885542,0.36612634658813475,0.009428250370193606,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8207092728707279,0.8276199770219952,0.8228600002768434,0.8177695416856997,0.8248248820846702,0.8227567347879873,0.0033764838921794336,7
5.824023103713989,0.1537327548865565,0.4170628547668457,0.020022840595699726,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8216886065085891,0.817077433107706,0.8247598383234361,0.8232510416234099,0.8223877052576111,0.8218329249641505,0.0025892542733139115,8
6.080423355102539,0.33321924112602797,0.445892333984375,0.03490730574346591,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8216834156942541,0.8169078665060975,0.8247010090943068,0.8232181664659551,0.822432773961383,0.8217886463443993,0.0026371716012291006,9
6.8502726554870605,0.47846699376463037,0.5972769260406494,0.034940538549261276,0.001,auto,rbf,"{'C': 0.001, 'gamma': 'auto', 'kernel': 'rbf'}",0.821259499190233,0.8228634608197334,0.8175048101546171,0.8137155156901015,0.825102227954037,0.8200891027617445,0.004037313340983398,10
6.784090995788574,0.168576568215434,0.6005274295806885,0.024593895352789205,0.001,scale,rbf,"{'C': 0.001, 'gamma': 'scale', 'kernel': 'rbf'}",0.8212594991902329,0.8228894148914081,0.8174771258114973,0.8136151599462923,0.8250623594853154,0.8200607118649492,0.004066329726255993,11
13.721515607833862,0.6577821037381507,0.7167089462280274,0.05496580097437302,1000.0,0.001,rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",0.8174598230970476,0.8254554074443199,0.8206850490704981,0.8167711750619435,0.8192242289351478,0.8199191367217914,0.003087966910045777,12
5.975117969512939,0.18974988093795941,0.3753610134124756,0.030032059859079183,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8197489722187616,0.8157157094805032,0.815843749567432,0.8188872970391594,0.8199765296058048,0.8180344515823323,0.0018769301365853044,13
6.97889986038208,0.3264949150376174,0.5191524505615235,0.028255949672426957,0.01,0.1,rbf,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.8164562656589566,0.8256734216463879,0.8147259942139722,0.8116443807704553,0.8196627820910838,0.8176325688761711,0.004784711930419875,14
88.6312647819519,13.33362047270337,0.5464377403259277,0.09951132084775799,1000.0,0.1,rbf,"{'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}",0.8220087067259111,0.8128642221391691,0.8161898038564289,0.8174442506540427,0.8176138894811378,0.8172241745713379,0.002938406613043191,15
5.779049396514893,0.17672737310309902,0.3628817558288574,0.007412442126657267,1.0,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8205708511551293,0.8113277410960231,0.8199981313068394,0.8126998463518955,0.8190890228238316,0.8167371185467438,0.00390958040823689,16
5.575050783157349,0.10009522046285764,0.35273003578186035,0.013780574054439774,1.0,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8204739559542101,0.8109470813781265,0.8200673421646387,0.8123520617914539,0.8190872894121481,0.8165855461401155,0.00407960852142574,17
8.932628488540649,0.40482715671954284,0.7224792003631592,0.07569540104215737,0.001,0.1,rbf,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}",0.8124870229641626,0.8223374583004582,0.8102272884570132,0.8076197693894218,0.8136530437842457,0.8132649165790603,0.00498320470963304,18
