mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.601326036453247,0.14478147509093303,0.5064096927642823,0.0117337872871208,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.8025950611131875,0.8127136885234556,0.811900460944313,0.8060279196600363,0.7994876035063453,0.8065449467494675,0.0051460647988045664,1
7.593813133239746,0.8272931385297738,0.5827582359313965,0.03434518452162419,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8024203036972439,0.8125856484365267,0.8120215799454619,0.8064189610066027,0.7991322541112191,0.8065157494394108,0.005262240786694154,2
5.359506511688233,0.12330495371036095,0.47513618469238283,0.009982470369365077,100.0,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.8026140940990822,0.8156984067660535,0.8084606813116842,0.80451220187423,0.7992882611627378,0.8061147290427575,0.005635132168880752,3
8.183682584762574,0.27631365248085465,0.683849573135376,0.032831247099169944,0.01,0.01,rbf,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.8011641266281854,0.8120250404883518,0.8119004609443131,0.8066404357515606,0.7985584948439669,0.8060577117312755,0.005482184368103258,4
5.577176141738891,0.20273593907491966,0.5100822925567627,0.020458194097968868,1.0,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.8012852456293343,0.8118762371440832,0.8118572041581883,0.8061490386611851,0.7990351830569408,0.8060405817299465,0.005283721519700631,5
8.293213701248169,0.3248334921164556,0.7429642677307129,0.02034279945712906,0.001,0.01,rbf,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}",0.8011139487562808,0.8119714020735573,0.8118935398585331,0.8066144816798859,0.7985602282556505,0.8060307201247816,0.005477006924535619,6
8.69467372894287,0.4373683378342918,0.6633488655090332,0.02616719539843967,0.01,0.001,rbf,"{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",0.8004668272358568,0.8116893678280249,0.8117084008139196,0.8065954486939911,0.7986607661332958,0.8058241621410176,0.005470558748553466,7
8.610357284545898,0.45032442524189387,0.6814217090606689,0.01687819920765835,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.8004685575073017,0.8116132358844457,0.8117862630289441,0.8065937184225461,0.7986486322515111,0.8058220814189496,0.005473992093818936,8
5.093388462066651,0.09704663183000577,0.4809081554412842,0.027886410550166222,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8021140456514818,0.8153852276345114,0.8083603255678751,0.804178259485348,0.7989363785909789,0.805794847386039,0.005687834802002587,9
6.571265459060669,0.34090639920889315,0.6951322555541992,0.12207018747397815,0.001,0.001,rbf,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}",0.8002142076048891,0.8114782747117366,0.8116755256564651,0.8066369752086708,0.7986659663683465,0.8057341899100218,0.005468802257181778,10
