sender,sender_type,sender_id,timestamp,meta,age,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
sequence,flow.Sequence,4_7,2023-11-15T20:41:50.920Z,,,,,,,,,1458.633,completion,,,,,,,low,low,,,,,,TRUE,,,,FALSE,117420.5,117419.7,115944.194,116146.8,115961.067,117230.177,1,16,,
trial,html.Screen,4_8_0,2023-11-15T20:41:52.335Z,,,0,-0.84874291,0.97782578,,TRUE,hl,1604.923,response,0.948927472,0.95,-0.95,-1.066043716,0.95,-0.95,high,low,,ISIC_4554863.JPG,,ISIC_5808758.JPG,26,TRUE,hl,keypress(j),100,FALSE,118835.5,118835.1,117213.304,117420.7,117230.177,118649.626,1,16,9,
sequence,flow.Sequence,4_8,2023-11-15T20:41:52.336Z,,,,,,,,,1604.923,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,118836.1,118835.1,117213.304,117420.6,117230.177,118649.626,1,16,,
trial,html.Screen,4_9_0,2023-11-15T20:42:13.644Z,,,0,-1.065667321,0.808254169,,TRUE,hl,21491.574,response,1.021336533,0.95,-0.95,-1.08852436,0.95,-0.95,high,low,,ISIC_0033985.JPG,,ISIC_5434229.JPG,26,TRUE,hl,keypress(j),100,FALSE,140141.4,140141.2,118632.754,118836.3,118649.626,139957.587,1,16,10,
sequence,flow.Sequence,4_9,2023-11-15T20:42:13.644Z,,,,,,,,,21491.574,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,140141.6,140141.2,118632.754,118836.2,118649.626,139957.587,1,16,,
trial,html.Screen,4_10_0,2023-11-15T20:42:15.025Z,,,0,-1.08653334,1.054263531,,TRUE,hl,1564.713,response,1.012239822,0.95,-0.95,-0.750522854,0.95,-0.95,high,low,,ISIC_0034006.JPG,,ISIC_0033802.JPG,26,TRUE,hl,keypress(j),100,FALSE,141522.8,141522.3,139940.895,140141.6,139957.587,141343.59,1,16,11,
sequence,flow.Sequence,4_10,2023-11-15T20:42:15.026Z,,,,,,,,,1564.713,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,141523.3,141522.3,139940.895,140141.6,139957.587,141343.59,1,16,,
trial,html.Screen,4_11_0,2023-11-15T20:42:16.699Z,,,0,-0.858338058,0.954061222,,TRUE,hl,1852.41,response,0.881628886,0.95,-0.95,-0.801867301,0.95,-0.95,high,low,,ISIC_8922893.JPG,,ISIC_9196783.JPG,26,TRUE,hl,keypress(j),100,FALSE,143196.4,143196,141326.855,141523.6,141343.59,143013.674,1,16,12,
sequence,flow.Sequence,4_11,2023-11-15T20:42:16.700Z,,,,,,,,,1852.41,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,143197.2,143196,141326.855,141523.6,141343.59,143013.674,1,16,,
trial,html.Screen,4_12_0,2023-11-15T20:42:18.216Z,,,0,-0.93587252,-0.993877662,,TRUE,hh,1700.026,response,1.06574766,0.95,-0.95,0.970732113,0.95,-0.95,high,high,,ISIC_3365692.JPG,,ISIC_0010778.JPG,167,TRUE,hh,keypress(i),100,FALSE,144714,144713.7,142996.809,143197.5,143013.674,144533.038,1,16,13,
sequence,flow.Sequence,4_12,2023-11-15T20:42:18.217Z,,,,,,,,,1700.026,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,144714.5,144713.7,142996.809,143197.5,143013.674,144533.038,1,16,,
trial,html.Screen,4_13_0,2023-11-15T20:42:19.474Z,,,0,-1.037520323,-0.939435876,,TRUE,hh,1438.062,response,0.759340482,0.95,-0.95,0.806460105,0.95,-0.95,high,high,,ISIC_4264600.JPG,,ISIC_0010278.JPG,167,TRUE,hh,keypress(i),100,FALSE,145971.4,145971.1,144516.409,144714.8,144533.038,145785.823,1,16,14,
sequence,flow.Sequence,4_13,2023-11-15T20:42:19.474Z,,,,,,,,,1438.062,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,145972,145971.1,144516.409,144714.8,144533.038,145785.823,1,16,,
trial,html.Screen,4_14_0,2023-11-15T20:42:20.619Z,,,0,-0.99494039,-1.003680641,,TRUE,hh,1330.877,response,0.88881879,0.95,-0.95,0.816257933,0.95,-0.95,high,high,,ISIC_0012450.JPG,,ISIC_0070285.JPG,167,TRUE,hh,keypress(i),100,FALSE,147117.1,147116.7,145768.87,145972.3,145785.823,146937.825,1,16,15,
sequence,flow.Sequence,4_14,2023-11-15T20:42:20.620Z,,,,,,,,,1330.877,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,147117.7,147116.7,145768.87,145972.2,145785.823,146937.825,1,16,,
trial,html.Screen,4_15_0,2023-11-15T20:42:22.196Z,,,0,-0.75496772,-0.787504301,,TRUE,hh,1755.275,response,0.7916641,0.95,-0.95,0.879552397,0.95,-0.95,high,high,,ISIC_7097665.JPG,,ISIC_0069635.JPG,167,TRUE,hh,keypress(i),100,FALSE,148693.5,148693.1,146921.3,147118,146937.825,148507.415,1,16,16,
sequence,flow.Sequence,4_15,2023-11-15T20:42:22.197Z,,,,,,,,,1755.275,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,148694.1,148693.1,146921.3,147117.9,146937.825,148507.415,1,16,,
demonstration_loop,flow.Loop,4,2023-11-15T20:42:22.197Z,,,,,,,,,68401.675,completion,,,,,,,,,,,,,,TRUE,,,,FALSE,148694.5,148693.1,80274.903,80494,80291.425,148507.415,1,16,,
practice_instructions,html.Screen,5,2023-11-15T20:42:24.333Z,,,,,,,,,2322.585,response,,,,,,,,,,,,,,,continue,keypress(Space),,,150830.8,150830,148490.825,148694.7,148507.415,150628.187,,,,
trial,html.Screen,6_0_0,2023-11-15T20:42:35.128Z,,,1,0.887838745,-0.754509665,,,,10804.634,timeout,-1.020990672,0.95,-0.95,1.011651385,0.95,-0.95,low,high,,ISIC_1488727.JPG,,ISIC_0011995.JPG,28,TRUE,,,0,FALSE,161625.2,161625.1,150611.585,150831.3,150628.187,161432.821,1,40,1,
sequence,flow.Sequence,6_0,2023-11-15T20:42:35.128Z,,,,,,,,,10996.913,completion,,,,,,,low,high,,,,,,TRUE,,,,FALSE,161625.4,161625.1,150611.585,150831.2,150628.187,161432.821,1,40,,
trial,html.Screen,6_1_0,2023-11-15T20:42:44.218Z,,,1,-0.78779395,0.841503278,,TRUE,hl,9282.579,response,0.787116214,0.95,-0.95,-0.84293298,0.95,-0.95,high,low,,ISIC_0067308.JPG,,ISIC_3439215.JPG,26,TRUE,hl,keypress(j),0,FALSE,170715.5,170715.4,161416.107,161625.5,161432.821,170516.986,1,40,2,
sequence,flow.Sequence,6_1,2023-11-15T20:42:44.218Z,,,,,,,,,9282.579,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,170715.6,170715.4,161416.107,161625.5,161432.821,170516.986,1,40,,
trial,html.Screen,6_2_0,2023-11-15T20:42:55.008Z,,,1,-1.009793258,-1.064483461,,,,10787.627,timeout,0.930742046,0.95,-0.95,1.004066294,0.95,-0.95,high,high,,ISIC_8559515.JPG,,ISIC_4508878.JPG,167,TRUE,,,0,FALSE,181502.8,181502.3,170500.391,170715.7,170516.986,181304.613,1,40,3,
sequence,flow.Sequence,6_2,2023-11-15T20:42:55.008Z,,,,,,,,,10985.314,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,181503.2,181502.3,170500.391,170715.7,170516.986,181304.613,1,40,,
trial,html.Screen,6_3_0,2023-11-15T20:42:58.895Z,,,1,0.852415616,0.769668467,,TRUE,ll,4085.187,response,-0.830781172,0.95,-0.95,-1.098625259,0.95,-0.95,low,low,,ISIC_0001141.JPG,,ISIC_8257549.JPG,142,TRUE,ll,keypress(f),0,FALSE,185389.9,185389.8,181288.108,181503.5,181304.613,185195.675,1,40,4,
sequence,flow.Sequence,6_3,2023-11-15T20:42:58.895Z,,,,,,,,,4085.187,completion,,,,,,,low,low,,,,,,TRUE,,,,FALSE,185390.1,185389.8,181288.108,181503.4,181304.613,185195.675,1,40,,
trial,html.Screen,6_4_0,2023-11-15T20:43:00.488Z,,,1,1.037657362,1.000040271,,TRUE,ll,1786.925,response,-0.941690031,0.95,-0.95,-0.807114939,0.95,-0.95,low,low,,ISIC_0068798.JPG,,ISIC_2784686.JPG,142,TRUE,ll,keypress(f),0,FALSE,186982.9,186982.6,185178.982,185390.2,185195.675,186781.905,1,40,5,
sequence,flow.Sequence,6_4,2023-11-15T20:43:00.489Z,,,,,,,,,1786.925,completion,,,,,,,low,low,,,,,,TRUE,,,,FALSE,186983.5,186982.6,185178.982,185390.2,185195.675,186781.905,1,40,,
trial,html.Screen,6_5_0,2023-11-15T20:43:01.672Z,,,1,0.865516731,-0.929858042,,TRUE,lh,1384.595,response,-1.011737553,0.95,-0.95,0.850053022,0.95,-0.95,low,high,,ISIC_4603706.JPG,,ISIC_2998367.JPG,28,TRUE,lh,keypress(e),0,FALSE,188166.8,188166.5,186765.413,186983.6,186781.905,187967.56,1,40,6,
sequence,flow.Sequence,6_5,2023-11-15T20:43:01.673Z,,,,,,,,,1384.595,completion,,,,,,,low,high,,,,,,TRUE,,,,FALSE,188167.3,188166.5,186765.413,186983.6,186781.905,187967.56,1,40,,
trial,html.Screen,6_6_0,2023-11-15T20:43:02.703Z,,,1,-0.793392176,0.769291629,,TRUE,hl,1229.94,response,0.772384921,0.95,-0.95,-0.888372424,0.95,-0.95,high,low,,ISIC_7844825.JPG,,ISIC_3884221.JPG,26,TRUE,hl,keypress(j),0,FALSE,189197.6,189197.5,187950.96,188167.5,187967.56,189003.123,1,40,7,
sequence,flow.Sequence,6_6,2023-11-15T20:43:02.703Z,,,,,,,,,1229.94,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,189197.8,189197.5,187950.96,188167.5,187967.56,189003.123,1,40,,
trial,html.Screen,6_7_0,2023-11-15T20:43:04.232Z,,,1,-1.09092852,-1.013890239,,TRUE,hh,1723.377,response,0.944176236,0.95,-0.95,0.765206105,0.95,-0.95,high,high,,ISIC_0033799.JPG,,ISIC_0065521.JPG,167,TRUE,hh,keypress(i),0,FALSE,190726.9,190726.5,188986.289,189197.9,189003.123,190522.569,1,40,8,
sequence,flow.Sequence,6_7,2023-11-15T20:43:04.233Z,,,,,,,,,1723.377,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,190727.4,190726.5,188986.289,189197.9,189003.123,190522.569,1,40,,
trial,html.Screen,6_8_0,2023-11-15T20:43:05.448Z,,,1,-1.09092852,-1.013890239,,TRUE,hh,1420.131,response,0.874521339,0.95,-0.95,0.75231635,0.95,-0.95,high,high,,ISIC_0033799.JPG,,ISIC_0054677.JPG,167,TRUE,hh,keypress(i),0,FALSE,191943,191942.7,190505.827,190727.6,190522.569,191741.55,1,40,9,
sequence,flow.Sequence,6_8,2023-11-15T20:43:05.449Z,,,,,,,,,1420.131,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,191943.5,191942.7,190505.827,190727.5,190522.569,191741.55,1,40,,
trial,html.Screen,6_9_0,2023-11-15T20:43:08.488Z,,,1,0.987379433,-0.799107788,,TRUE,lh,3241.15,response,-0.84874291,0.95,-0.95,0.97782578,0.95,-0.95,low,high,,ISIC_0013498.JPG,,ISIC_4554863.JPG,28,TRUE,lh,keypress(e),0,FALSE,194982.9,194982.7,191724.998,191943.7,191741.55,194780.73,1,40,10,
sequence,flow.Sequence,6_9,2023-11-15T20:43:08.489Z,,,,,,,,,3241.15,completion,,,,,,,low,high,,,,,,TRUE,,,,FALSE,194983.4,194982.7,191724.998,191943.7,191741.55,194780.73,1,40,,
trial,html.Screen,6_10_0,2023-11-15T20:43:09.599Z,,,1,-0.93587252,-0.993877662,,TRUE,hh,1312.97,response,1.057056871,0.95,-0.95,0.83168507,0.95,-0.95,high,high,,ISIC_3365692.JPG,,ISIC_0059294.JPG,167,TRUE,hh,keypress(i),0,FALSE,196093.8,196093.7,194764.188,194983.6,194780.73,195899.834,1,40,11,
sequence,flow.Sequence,6_10,2023-11-15T20:43:09.599Z,,,,,,,,,1312.97,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,196093.9,196093.7,194764.188,194983.6,194780.73,195899.834,1,40,,
trial,html.Screen,6_11_0,2023-11-15T20:43:15.376Z,,,1,-0.978645773,-1.118905639,,TRUE,hh,5970.866,response,0.905339613,0.95,-0.95,0.793506959,0.95,-0.95,high,high,,ISIC_3926019.JPG,,ISIC_0010729.JPG,167,TRUE,hh,keypress(i),0,FALSE,201871.1,201870.7,195883.163,196094,195899.834,201677.591,1,40,12,
sequence,flow.Sequence,6_11,2023-11-15T20:43:15.377Z,,,,,,,,,5970.866,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,201871.5,201870.7,195883.163,196094,195899.834,201677.591,1,40,,
trial,html.Screen,6_12_0,2023-11-15T20:43:20.361Z,,,1,-0.797711328,-0.923711825,,TRUE,hh,5177.509,response,1.052206221,0.95,-0.95,0.753734106,0.95,-0.95,high,high,,ISIC_1023354.JPG,,ISIC_0013588.JPG,167,TRUE,hh,keypress(i),0,FALSE,206855.4,206855.1,201660.996,201871.9,201677.591,206653.821,1,40,13,
sequence,flow.Sequence,6_12,2023-11-15T20:43:20.361Z,,,,,,,,,5177.509,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,206855.9,206855.1,201660.996,201871.8,201677.591,206653.821,1,40,,
trial,html.Screen,6_13_0,2023-11-15T20:43:21.720Z,,,1,-0.78779395,0.841503278,,TRUE,hl,1560.979,response,1.012239822,0.95,-0.95,-0.750522854,0.95,-0.95,high,low,,ISIC_0067308.JPG,,ISIC_0033802.JPG,26,TRUE,hl,keypress(j),0,FALSE,208215.1,208214.8,206637.24,206856.1,206653.821,208023.427,1,40,14,
sequence,flow.Sequence,6_13,2023-11-15T20:43:21.721Z,,,,,,,,,1560.979,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,208215.6,208214.8,206637.24,206856.1,206653.821,208023.427,1,40,,
trial,html.Screen,6_14_0,2023-11-15T20:43:24.942Z,,,1,0.78589811,1.098700383,,TRUE,ll,3413.773,response,-0.811981203,0.95,-0.95,-0.760585865,0.95,-0.95,low,low,,ISIC_0059733.JPG,,ISIC_6801680.JPG,142,TRUE,ll,keypress(f),0,FALSE,211437.2,211437.2,208006.708,208215.8,208023.427,211246.08,1,40,15,
sequence,flow.Sequence,6_14,2023-11-15T20:43:24.943Z,,,,,,,,,3413.773,completion,,,,,,,low,low,,,,,,TRUE,,,,FALSE,211437.4,211437.2,208006.708,208215.7,208023.427,211246.08,1,40,,
trial,html.Screen,6_15_0,2023-11-15T20:43:29.440Z,,,1,-0.858338058,0.954061222,,TRUE,hl,4688.72,response,0.780994986,0.95,-0.95,-0.849386112,0.95,-0.95,high,low,,ISIC_8922893.JPG,,ISIC_7450481.JPG,26,TRUE,hl,keypress(j),0,FALSE,215935.1,215934.8,211212.924,211437.4,211246.08,215738.354,1,40,16,
sequence,flow.Sequence,6_15,2023-11-15T20:43:29.441Z,,,,,,,,,4688.72,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,215935.6,215934.8,211212.924,211437.4,211246.08,215738.354,1,40,,
trial,html.Screen,6_16_0,2023-11-15T20:43:30.680Z,,,1,0.880017316,0.77705133,,TRUE,ll,1436.646,response,-0.882613178,0.95,-0.95,-1.119782074,0.95,-0.95,low,low,,ISIC_0030852.JPG,,ISIC_7137995.JPG,142,TRUE,ll,keypress(f),0,FALSE,217175.3,217175,215721.454,215935.8,215738.354,216973.926,1,40,17,
sequence,flow.Sequence,6_16,2023-11-15T20:43:30.681Z,,,,,,,,,1436.646,completion,,,,,,,low,low,,,,,,TRUE,,,,FALSE,217175.8,217175,215721.454,215935.7,215738.354,216973.926,1,40,,
trial,html.Screen,6_17_0,2023-11-15T20:43:32.024Z,,,1,-0.964746249,-0.906935307,,TRUE,hh,1544.774,response,1.064498465,0.95,-0.95,0.80531371,0.95,-0.95,high,high,,ISIC_9896801.JPG,,ISIC_2007396.JPG,167,TRUE,hh,keypress(i),0,FALSE,218519.1,218518.7,216957.313,217176,216973.926,218326.71,1,40,18,
sequence,flow.Sequence,6_17,2023-11-15T20:43:32.025Z,,,,,,,,,1544.774,completion,,,,,,,high,high,,,,,,TRUE,,,,FALSE,218519.5,218518.7,216957.313,217176,216973.926,218326.71,1,40,,
trial,html.Screen,6_18_0,2023-11-15T20:43:33.087Z,,,1,-0.783635641,1.119792559,,TRUE,hl,1254.89,response,0.894761108,0.95,-0.95,-0.896096451,0.95,-0.95,high,low,,ISIC_0024961.JPG,,ISIC_6441128.JPG,26,TRUE,hl,keypress(j),0,FALSE,219581.7,219581.6,218310.062,218519.7,218326.71,219395.372,1,40,19,
sequence,flow.Sequence,6_18,2023-11-15T20:43:33.087Z,,,,,,,,,1254.89,completion,,,,,,,high,low,,,,,,TRUE,,,,FALSE,219581.9,219581.6,218310.062,218519.7,218326.71,219395.372,1,40,,
trial,html.Screen,6_19_0,2023-11-15T20:43:34.736Z,,,1,0.865516731,-0.929858042,,TRUE,lh,1835.228,response,-1.002626609,0.95,-0.95,1.091327591,0.95,-0.95,low,high,,ISIC_4603706.JPG,,ISIC_0033520.JPG,28,TRUE,lh,keypress(e),0,FALSE,221230.9,221230.6,219378.595,219582,219395.372,221031.906,1,40,20,
sequence,flow.Sequence,6_19,2023-11-15T20:43:34.737Z,,,,,,,,,1835.228,completion,,,,,,,low,high,,,,,,TRUE,,,,FALSE,221231.4,221230.6,219378.595,219582,219395.372,221031.906,1,40,,
