sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-05-02T17:47:10.547Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=65190"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":820,""screen_height"":1180,""scroll_width"":1180,""scroll_height"":729,""window_innerWidth"":1180,""window_innerHeight"":713,""devicePixelRatio"":2}",,,,9723,response,,,,,,consent,click button,,12209,12195,2472,2469,2475,12216,,,,"{""participant"":""65190""}",
Welcome,html.Screen,1,2023-05-02T17:48:27.266Z,,,,irregular,76697,response,,,,,,continue,click button,,88928,88910,12213,12209,12216,88935,,,,,
trial,html.Screen,2_0_0,2023-05-02T17:48:35.880Z,,0,0,,8609,response,ISIC_0061792.JPG,,ISIC_4679428.JPG,ISIC_0061792.JPG,true,1,keypress(m),500,97542,97541,88932,88928,88935,97553,1,6,1,,ISIC_4679428.JPG
sequence,flow.Sequence,2_0,2023-05-02T17:48:35.881Z,,0,,,8606,completion,,,,,true,,,,97543,97541,88932,88928,88935,97553,1,6,,,
trial,html.Screen,2_1_0,2023-05-02T17:48:41.995Z,,0,0,,6111,response,ISIC_0776486.JPG,,ISIC_5199497.JPG,ISIC_0776486.JPG,true,1,keypress(m),500,103657,103657,97546,97543,97553,103666,1,6,2,,ISIC_5199497.JPG
sequence,flow.Sequence,2_1,2023-05-02T17:48:41.996Z,,0,,,6104,completion,,,,,true,,,,103658,103657,97546,97543,97553,103666,1,6,,,
trial,html.Screen,2_2_0,2023-05-02T17:48:49.882Z,,0,0,,7882,response,ISIC_2556187.JPG,,ISIC_8575776.JPG,ISIC_8575776.JPG,true,0,keypress(z),500,111544,111543,103661,103659,103666,111554,1,6,3,,ISIC_2556187.JPG
sequence,flow.Sequence,2_2,2023-05-02T17:48:49.882Z,,0,,,7877,completion,,,,,true,,,,111544,111543,103661,103659,103666,111554,1,6,,,
trial,html.Screen,2_3_0,2023-05-02T17:48:56.114Z,,0,0,,6226,response,ISIC_8141769.JPG,,ISIC_9238366.JPG,ISIC_9238366.JPG,true,0,keypress(z),500,117776,117775,111549,111545,111554,117784,1,6,4,,ISIC_8141769.JPG
sequence,flow.Sequence,2_3,2023-05-02T17:48:56.114Z,,0,,,6221,completion,,,,,true,,,,117776,117775,111549,111545,111554,117784,1,6,,,
trial,html.Screen,2_4_0,2023-05-02T17:49:01.693Z,,0,0,,5576,response,ISIC_8949026.JPG,,ISIC_9959593.JPG,ISIC_8949026.JPG,true,1,keypress(m),500,123355,123355,117779,117776,117784,123363,1,6,5,,ISIC_9959593.JPG
sequence,flow.Sequence,2_4,2023-05-02T17:49:01.694Z,,0,,,5571,completion,,,,,true,,,,123356.00000000001,123355,117779,117776,117784,123363,1,6,,,
trial,html.Screen,2_5_0,2023-05-02T17:49:08.426Z,,0,0,,6730,response,ISIC_0010479.JPG,,ISIC_0460240.JPG,ISIC_0460240.JPG,true,0,keypress(z),500,130088,130088,123358,123356.00000000001,123363,130097,1,6,6,,ISIC_0010479.JPG
sequence,flow.Sequence,2_5,2023-05-02T17:49:08.427Z,,0,,,6725,completion,,,,,true,,,,130089,130088,123358,123356.00000000001,123363,130097,1,6,,,
loop,flow.Loop,2,2023-05-02T17:49:08.427Z,,,,,41153,completion,,,,,true,,,,130089,130088,88932,88928,88935,130097,1,6,,,
