sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-11-06T15:20:06.693Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=66809&platform=sona"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1470,""screen_height"":956,""scroll_width"":1470,""scroll_height"":755,""window_innerWidth"":1470,""window_innerHeight"":803,""devicePixelRatio"":2}",,,,2940.951999976158,response,,,,,,consent,click button,,4567.699999928474,4565.399999976158,1607.782,1600.1999999284744,1624.448,4574.33,,,,"{""participant"":""66809"",""platform"":""sona""}",
Welcome,html.Screen,1,2023-11-06T15:20:11.560Z,,,,symmetry,4857.269999904633,response,,,,,,continue,click button,,9434.099999904633,9431.599999904633,4557.664,4567.799999952316,4574.33,9441.108,,,,,
trial,html.Screen,2_0_0,2023-11-06T15:20:21.406Z,,0,0,,9838.691999952316,response,ISIC_0069348.JPG,,ISIC_6997061.JPG,ISIC_0069348.JPG,true,1,keypress(m),500,19280.399999976158,19279.799999952316,9424.442,9434.299999952316,9441.108,19291.207,1,6,1,,ISIC_6997061.JPG
sequence,flow.Sequence,2_0,2023-11-06T15:20:21.407Z,,0,,,9838.691999952316,completion,,,,,true,,,,19281,19279.799999952316,9424.442,9434.199999928474,9441.108,19291.207,1,6,,,
trial,html.Screen,2_1_0,2023-11-06T15:20:27.020Z,,0,0,,5602.892999904634,response,ISIC_0057368.JPG,,ISIC_0009529.JPG,ISIC_0057368.JPG,true,1,keypress(m),500,24894.5,24894.099999904633,19274.541,19281.199999928474,19291.207,24907.649,1,6,2,,ISIC_0009529.JPG
sequence,flow.Sequence,2_1,2023-11-06T15:20:27.021Z,,0,,,5602.892999904634,completion,,,,,true,,,,24894.899999976158,24894.099999904633,19274.541,19281.099999904633,19291.207,24907.649,1,6,,,
trial,html.Screen,2_2_0,2023-11-06T15:20:31.571Z,,0,0,,4537.450999904631,response,ISIC_0064954.JPG,,ISIC_9758671.JPG,ISIC_9758671.JPG,true,0,keypress(z),500,29445.599999904633,29445.099999904633,24890.983,24895.199999928474,24907.649,29457.908,1,6,3,,ISIC_0064954.JPG
sequence,flow.Sequence,2_2,2023-11-06T15:20:31.572Z,,0,,,4537.450999904631,completion,,,,,true,,,,29446,29445.099999904633,24890.983,24895.099999904633,24907.649,29457.908,1,6,,,
trial,html.Screen,2_3_0,2023-11-06T15:20:36.875Z,,0,0,,5291.092000000001,response,ISIC_0005785.JPG,,ISIC_0000080.JPG,ISIC_0005785.JPG,true,1,keypress(m),500,34749.799999952316,34749,29441.242,29446.299999952316,29457.908,34757.696,1,6,4,,ISIC_0000080.JPG
sequence,flow.Sequence,2_3,2023-11-06T15:20:36.876Z,,0,,,5291.092000000001,completion,,,,,true,,,,34750.39999997616,34749,29441.242,29446.099999904633,29457.908,34757.696,1,6,,,
