sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-09-08T18:46:37.466Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=5b646a727c39ee00010a18b0&STUDY_ID=64f8c92207ba404bcb356c90&SESSION_ID=64fb6b81038acb9bd6e0c3c3&platform=prolific"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/New_York"",""timezoneOffset"":240,""screen_width"":360,""screen_height"":720,""scroll_width"":360,""scroll_height"":648,""window_innerWidth"":360,""window_innerHeight"":592,""devicePixelRatio"":2}",,,,6898.52699999851,response,,,,,consent,click button,,8915.5,8905.39999999851,340.187,1998.8999999985099,2006.873,8923.695,,,,"{""participant"":""5b646a727c39ee00010a18b0"",""STUDY_ID"":""64f8c92207ba404bcb356c90"",""SESSION_ID"":""64fb6b81038acb9bd6e0c3c3"",""platform"":""prolific""}"
Welcome,html.Screen,1,2023-09-08T18:47:10.324Z,,,,uniform,32841.605000000745,response,,,,,continue,click button,,41773.800000000745,41765.300000000745,8907.027,8916.5,8923.695,41790.13,,,,
trial,html.Screen,2_0_0,2023-09-08T18:47:21.832Z,,0,0,,11516.850000000006,timeout,ISIC_0025593.JPG,,ISIC_0063388.JPG,true,,,500,53281.39999999851,53280.60000000149,41773.516,41775.39999999851,41790.13,53306.98,1,6,1,
sequence,flow.Sequence,2_0,2023-09-08T18:47:21.833Z,,0,,,11490.470000001493,completion,,,,true,,,,53282.89999999851,53280.60000000149,41773.516,41775.199999999255,41790.13,53306.98,1,6,,
trial,html.Screen,2_1_0,2023-09-08T18:47:33.343Z,,0,0,,11516.496,timeout,ISIC_0028178.JPG,,ISIC_1309015.JPG,true,,,500,64793,64791.699999999255,53290.311,53284,53306.98,64823.476,1,6,2,
sequence,flow.Sequence,2_1,2023-09-08T18:47:33.345Z,,0,,,11484.719999999252,completion,,,,true,,,,64794.300000000745,64791.699999999255,53290.311,53283.699999999255,53306.98,64823.476,1,6,,
trial,html.Screen,2_2_0,2023-09-08T18:47:44.860Z,,0,0,,11516.776999999995,timeout,ISIC_0031128.JPG,,ISIC_3314853.JPG,true,,,500,76309.80000000075,76308.80000000075,64806.812,64796.199999999255,64823.476,76340.253,1,6,3,
sequence,flow.Sequence,2_2,2023-09-08T18:47:44.861Z,,0,,,11485.324000000743,completion,,,,true,,,,76310.60000000149,76308.80000000075,64806.812,64795.699999999255,64823.476,76340.253,1,6,,
trial,html.Screen,2_3_0,2023-09-08T18:47:56.379Z,,0,0,,11516.63900000001,timeout,ISIC_0031612.JPG,,ISIC_8980141.JPG,true,,,500,87828.39999999851,87826.60000000149,76323.577,76311.30000000075,76340.253,87856.892,1,6,4,
sequence,flow.Sequence,2_3,2023-09-08T18:47:56.383Z,,0,,,11486.347000001493,completion,,,,true,,,,87832.5,87826.60000000149,76323.577,76311,76340.253,87856.892,1,6,,
