sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-11-01T15:46:37.639Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=66160&platform=sona"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":772,""window_innerWidth"":1440,""window_innerHeight"":820,""devicePixelRatio"":2}",,,,4006,response,,,,,,consent,click button,,6183,6224,2218,2214,2241,6210,,,,"{""participant"":""66160"",""platform"":""sona""}",
Welcome,html.Screen,1,2023-11-01T15:47:48.273Z,,,,uniform,70667,response,,,,,,continue,click button,,76818,76861,6194,6183,6210,76845,,,,,
trial,html.Screen,2_0_0,2023-11-01T15:47:55.002Z,,0,0,,6718,response,ISIC_0025593.JPG,,ISIC_0063388.JPG,ISIC_0063388.JPG,true,0,keypress(z),500,83547,83546,76828,76818,76845,83579,1,6,1,,ISIC_0025593.JPG
sequence,flow.Sequence,2_0,2023-11-01T15:47:55.003Z,,0,,,6701,completion,,,,,true,,,,83548,83546,76828,76818,76845,83579,1,6,,,
trial,html.Screen,2_1_0,2023-11-01T15:47:58.944Z,,0,0,,3927,response,ISIC_1309015.JPG,,ISIC_0028178.JPG,ISIC_1309015.JPG,true,1,keypress(m),500,87490,87489,83562,83549,83579,87512,1,6,2,,ISIC_0028178.JPG
sequence,flow.Sequence,2_1,2023-11-01T15:47:58.945Z,,0,,,3910,completion,,,,,true,,,,87491,87489,83562,83548,83579,87512,1,6,,,
trial,html.Screen,2_2_0,2023-11-01T15:48:03.203Z,,0,0,,4253,response,ISIC_0031128.JPG,,ISIC_3314853.JPG,ISIC_0031128.JPG,true,1,keypress(m),500,91748,91748,87495,87491,87512,91779,1,6,3,,ISIC_3314853.JPG
sequence,flow.Sequence,2_2,2023-11-01T15:48:03.203Z,,0,,,4236,completion,,,,,true,,,,91749,91748,87495,87491,87512,91779,1,6,,,
trial,html.Screen,2_3_0,2023-11-01T15:48:06.878Z,,0,0,,3660,response,ISIC_8980141.JPG,,ISIC_0031612.JPG,ISIC_0031612.JPG,true,0,keypress(z),500,95424,95423,91763,91749,91779,95446,1,6,4,,ISIC_8980141.JPG
sequence,flow.Sequence,2_3,2023-11-01T15:48:06.878Z,,0,,,3644,completion,,,,,true,,,,95424,95423,91763,91749,91779,95446,1,6,,,
trial,html.Screen,2_4_0,2023-11-01T15:48:10.329Z,,0,0,,3445,response,ISIC_9721604.JPG,,ISIC_1197737.JPG,ISIC_9721604.JPG,true,1,keypress(m),500,98875,98874,95429,95425,95446,98913,1,6,5,,ISIC_1197737.JPG
sequence,flow.Sequence,2_4,2023-11-01T15:48:10.330Z,,0,,,3428,completion,,,,,true,,,,98876,98874,95429,95425,95446,98913,1,6,,,
trial,html.Screen,2_5_0,2023-11-01T15:48:14.080Z,,0,0,,3729,response,ISIC_0010681.JPG,,ISIC_0025346.JPG,ISIC_0025346.JPG,true,0,keypress(z),500,102626,102625,98896,98876,98913,102663,1,6,6,,ISIC_0010681.JPG
sequence,flow.Sequence,2_5,2023-11-01T15:48:14.080Z,,0,,,3712,completion,,,,,true,,,,102626,102625,98896,98876,98913,102663,1,6,,,
loop,flow.Loop,2,2023-11-01T15:48:14.081Z,,,,,25780,completion,,,,,true,,,,102627,102625,76828,76818,76845,102663,1,6,,,
exp_instructions,html.Screen,3,2023-11-01T15:48:23.967Z,,,,,9910,response,,,,,,continue,keypress(Space),,112514,112556,102646,102627,102663,112546,,,,,
trial,html.Screen,4_0_0,2023-11-01T15:48:28.200Z,,0,1,,4217.000000000015,response,ISIC_0058177.JPG,13,ISIC_0004000.JPG,ISIC_0004000.JPG,false,0,keypress(z),500,116746.00000000001,116746.00000000001,112529,112514,112546,116779,8,400,1,,ISIC_0058177.JPG
break,html.Screen,4_0_1,2023-11-01T15:48:28.202Z,,0,,,NaN,,,,,,false,,,,116748,116748,,116747,,116779,8,400,,,
break_continue,html.Screen,4_0_2,2023-11-01T15:48:28.202Z,,0,,,NaN,,,,,,false,,,,116749.00000000001,116749.00000000001,,116749.00000000001,,116779,8,400,,,
sequence,flow.Sequence,4_0,2023-11-01T15:48:28.203Z,,0,,,4203.000000000015,completion,,,,,false,,,,116749.00000000001,116749.00000000001,112529,112514,112546,116779,8,400,,,
trial,html.Screen,4_1_0,2023-11-01T15:48:31.804Z,,0,1,,3587.0000000000146,response,ISIC_0057963.JPG,15,ISIC_0065597.JPG,ISIC_0065597.JPG,false,0,keypress(z),500,120350.00000000001,120350.00000000001,116763,116750,116779,120380,8,400,2,,ISIC_0057963.JPG
break,html.Screen,4_1_1,2023-11-01T15:48:31.805Z,,0,,,NaN,,,,,,false,,,,120352,120352,,120351,,120380,8,400,,,
break_continue,html.Screen,4_1_2,2023-11-01T15:48:31.806Z,,0,,,NaN,,,,,,false,,,,120353.00000000001,120353.00000000001,,120352,,120380,8,400,,,
sequence,flow.Sequence,4_1,2023-11-01T15:48:31.807Z,,0,,,3574.0000000000146,completion,,,,,false,,,,120353.00000000001,120353.00000000001,116763,116750,116779,120380,8,400,,,
trial,html.Screen,4_2_0,2023-11-01T15:48:36.521Z,,0,1,,4703,response,ISIC_2720426.JPG,9,ISIC_0054936.JPG,ISIC_2720426.JPG,false,1,keypress(m),500,125067,125066,120363,120353.00000000001,120380,125097,8,400,3,,ISIC_0054936.JPG
break,html.Screen,4_2_1,2023-11-01T15:48:36.522Z,,0,,,NaN,,,,,,false,,,,125069,125069,,125068,,125097,8,400,,,
break_continue,html.Screen,4_2_2,2023-11-01T15:48:36.523Z,,0,,,NaN,,,,,,false,,,,125070.00000000001,125069,,125069,,125097,8,400,,,
sequence,flow.Sequence,4_2,2023-11-01T15:48:36.523Z,,0,,,4689,completion,,,,,false,,,,125070.00000000001,125069,120363,120353.00000000001,120380,125097,8,400,,,
trial,html.Screen,4_3_0,2023-11-01T15:48:41.556Z,,0,1,,5023.000000000015,response,ISIC_0026545.JPG,2,ISIC_5458933.JPG,ISIC_0026545.JPG,false,1,keypress(m),500,130103.00000000001,130103.00000000001,125080,125070.00000000001,125097,130130,8,400,4,,ISIC_5458933.JPG
break,html.Screen,4_3_1,2023-11-01T15:48:41.558Z,,0,,,NaN,,,,,,false,,,,130104.99999999999,130104.99999999999,,130104.00000000001,,130130,8,400,,,
break_continue,html.Screen,4_3_2,2023-11-01T15:48:41.559Z,,0,,,NaN,,,,,,false,,,,130106,130106,,130104.99999999999,,130130,8,400,,,
sequence,flow.Sequence,4_3,2023-11-01T15:48:41.559Z,,0,,,5009,completion,,,,,false,,,,130106,130106,125080,125070.00000000001,125097,130130,8,400,,,
trial,html.Screen,4_4_0,2023-11-01T15:48:45.046Z,,0,1,,3479,response,ISIC_5354827.JPG,5,ISIC_0010730.JPG,ISIC_0010730.JPG,false,0,keypress(z),500,133593,133592,130113,130107,130130,133630,8,400,5,,ISIC_5354827.JPG
break,html.Screen,4_4_1,2023-11-01T15:48:45.047Z,,0,,,NaN,,,,,,false,,,,133594,133594,,133593,,133630,8,400,,,
break_continue,html.Screen,4_4_2,2023-11-01T15:48:45.048Z,,0,,,NaN,,,,,,false,,,,133595,133595,,133595,,133630,8,400,,,
sequence,flow.Sequence,4_4,2023-11-01T15:48:45.048Z,,0,,,3465,completion,,,,,false,,,,133596,133595,130113,130107,130130,133630,8,400,,,
trial,html.Screen,4_5_0,2023-11-01T15:48:48.460Z,,0,1,,3392,response,ISIC_0024585.JPG,2,ISIC_0061379.JPG,ISIC_0024585.JPG,false,1,keypress(m),500,137008,137007,133615,133596,133630,137030,8,400,6,,ISIC_0061379.JPG
break,html.Screen,4_5_1,2023-11-01T15:48:48.462Z,,0,,,NaN,,,,,,false,,,,137009,137009,,137008,,137030,8,400,,,
break_continue,html.Screen,4_5_2,2023-11-01T15:48:48.462Z,,0,,,NaN,,,,,,false,,,,137010,137009,,137009,,137030,8,400,,,
sequence,flow.Sequence,4_5,2023-11-01T15:48:48.463Z,,0,,,3379,completion,,,,,false,,,,137010,137009,133615,133596,133630,137030,8,400,,,
trial,html.Screen,4_6_0,2023-11-01T15:48:51.774Z,,0,1,,3308,response,ISIC_3234816.JPG,2,ISIC_6595186.JPG,ISIC_6595186.JPG,false,0,keypress(z),500,140322,140321,137013,137010,137030,140347,8,400,7,,ISIC_3234816.JPG
break,html.Screen,4_6_1,2023-11-01T15:48:51.776Z,,0,,,NaN,,,,,,false,,,,140323,140323,,140322,,140347,8,400,,,
break_continue,html.Screen,4_6_2,2023-11-01T15:48:51.776Z,,0,,,NaN,,,,,,false,,,,140324,140323,,140323,,140347,8,400,,,
sequence,flow.Sequence,4_6,2023-11-01T15:48:51.777Z,,0,,,3293,completion,,,,,false,,,,140324,140323,137013,137010,137030,140347,8,400,,,
trial,html.Screen,4_7_0,2023-11-01T15:48:55.277Z,,0,1,,3494,response,ISIC_8759726.JPG,6,ISIC_6959281.JPG,ISIC_8759726.JPG,false,1,keypress(m),500,143825.00000000003,143824,140330,140325.00000000003,140347,143847,8,400,8,,ISIC_6959281.JPG
break,html.Screen,4_7_1,2023-11-01T15:48:55.279Z,,0,,,NaN,,,,,,false,,,,143826,143826,,143825.00000000003,,143847,8,400,,,
break_continue,html.Screen,4_7_2,2023-11-01T15:48:55.279Z,,0,,,NaN,,,,,,false,,,,143827,143827,,143827,,143847,8,400,,,
sequence,flow.Sequence,4_7,2023-11-01T15:48:55.280Z,,0,,,3480,completion,,,,,false,,,,143827,143827,140330,140324,140347,143847,8,400,,,
trial,html.Screen,4_8_0,2023-11-01T15:48:58.384Z,,0,1,,3100,response,ISIC_0033175.JPG,3,ISIC_4252285.JPG,ISIC_4252285.JPG,false,0,keypress(z),500,146931,146931,143831,143827,143847,146947,8,400,9,,ISIC_0033175.JPG
break,html.Screen,4_8_1,2023-11-01T15:48:58.385Z,,0,,,NaN,,,,,,false,,,,146933,146933,,146932.00000000003,,146947,8,400,,,
break_continue,html.Screen,4_8_2,2023-11-01T15:48:58.386Z,,0,,,NaN,,,,,,false,,,,146933,146933,,146933,,146947,8,400,,,
sequence,flow.Sequence,4_8,2023-11-01T15:48:58.386Z,,0,,,3086,completion,,,,,false,,,,146934,146933,143831,143827,143847,146947,8,400,,,
trial,html.Screen,4_9_0,2023-11-01T15:49:02.029Z,,0,1,,3639,response,ISIC_9672482.JPG,11,ISIC_9183042.JPG,ISIC_9672482.JPG,false,1,keypress(m),500,150576,150576,146937,146934,146947,150597,8,400,10,,ISIC_9183042.JPG
break,html.Screen,4_9_1,2023-11-01T15:49:02.030Z,,0,,,NaN,,,,,,false,,,,150578,150577,,150577,,150597,8,400,,,
break_continue,html.Screen,4_9_2,2023-11-01T15:49:02.031Z,,0,,,NaN,,,,,,false,,,,150578,150578,,150578,,150597,8,400,,,
sequence,flow.Sequence,4_9,2023-11-01T15:49:02.031Z,,0,,,3631,completion,,,,,false,,,,150578,150578,146937,146934,146947,150597,8,400,,,
trial,html.Screen,4_10_0,2023-11-01T15:49:04.658Z,,0,1,,2624,response,ISIC_0010834.JPG,13,ISIC_0010714.JPG,ISIC_0010834.JPG,false,1,keypress(m),500,153206.00000000003,153205,150581,150579,150597,153231,8,400,11,,ISIC_0010714.JPG
break,html.Screen,4_10_1,2023-11-01T15:49:04.659Z,,0,,,NaN,,,,,,false,,,,153207,153207,,153206.00000000003,,153231,8,400,,,
break_continue,html.Screen,4_10_2,2023-11-01T15:49:04.660Z,,0,,,NaN,,,,,,false,,,,153207,153207,,153207,,153231,8,400,,,
sequence,flow.Sequence,4_10,2023-11-01T15:49:04.660Z,,0,,,2610,completion,,,,,false,,,,153207,153207,150581,150579,150597,153231,8,400,,,
trial,html.Screen,4_11_0,2023-11-01T15:49:07.484Z,,0,1,,2817,response,ISIC_7526530.JPG,5,ISIC_8622365.JPG,ISIC_8622365.JPG,false,0,keypress(z),500,156031,156031,153214,153208,153231,156064,8,400,12,,ISIC_7526530.JPG
break,html.Screen,4_11_1,2023-11-01T15:49:07.485Z,,0,,,NaN,,,,,,false,,,,156033.00000000003,156033.00000000003,,156032,,156064,8,400,,,
break_continue,html.Screen,4_11_2,2023-11-01T15:49:07.486Z,,0,,,NaN,,,,,,false,,,,156033.00000000003,156033.00000000003,,156033.00000000003,,156064,8,400,,,
sequence,flow.Sequence,4_11,2023-11-01T15:49:07.486Z,,0,,,2802.000000000029,completion,,,,,false,,,,156034,156033.00000000003,153214,153208,153231,156064,8,400,,,
trial,html.Screen,4_12_0,2023-11-01T15:49:10.099Z,,0,1,,2598.000000000029,response,ISIC_9615486.JPG,16,ISIC_0026924.JPG,ISIC_9615486.JPG,false,1,keypress(m),500,158646.00000000003,158646.00000000003,156048,156034,156064,158681,8,400,13,,ISIC_0026924.JPG
break,html.Screen,4_12_1,2023-11-01T15:49:10.100Z,,0,,,NaN,,,,,,false,,,,158647,158647,,158647,,158681,8,400,,,
break_continue,html.Screen,4_12_2,2023-11-01T15:49:10.100Z,,0,,,NaN,,,,,,false,,,,158648,158648,,158648,,158681,8,400,,,
sequence,flow.Sequence,4_12,2023-11-01T15:49:10.100Z,,0,,,2584,completion,,,,,false,,,,158648,158648,156048,156034,156064,158681,8,400,,,
trial,html.Screen,4_13_0,2023-11-01T15:49:12.679Z,,0,1,,2562,response,ISIC_0059264.JPG,10,ISIC_9723646.JPG,ISIC_9723646.JPG,false,0,keypress(z),500,161227,161226,158664,158648,158681,161264,8,400,14,,ISIC_0059264.JPG
break,html.Screen,4_13_1,2023-11-01T15:49:12.681Z,,0,,,NaN,,,,,,false,,,,161229,161228,,161228,,161264,8,400,,,
break_continue,html.Screen,4_13_2,2023-11-01T15:49:12.681Z,,0,,,NaN,,,,,,false,,,,161229,161229,,161229,,161264,8,400,,,
sequence,flow.Sequence,4_13,2023-11-01T15:49:12.681Z,,0,,,2548,completion,,,,,false,,,,161229,161229,158664,158648,158681,161264,8,400,,,
