sender,sender_type,sender_id,timestamp,meta,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
informed_consent,html.Screen,0,2023-09-12T19:26:01.655Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=66893&platform=sona"",""userAgent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"",""platform"":""iPhone"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":428,""screen_height"":926,""scroll_width"":412,""scroll_height"":70,""window_innerWidth"":428,""window_innerHeight"":748,""devicePixelRatio"":3}",,5597,response,consent,click button,8491,8488,2867,2860,2891,8513,"{""participant"":""66893"",""platform"":""sona""}"
Welcome,html.Screen,1,2023-09-12T19:26:02.452Z,,symmetry,775,response,continue,click button,9289,9288,8503,8492,8513,9303,
