sender,sender_type,sender_id,timestamp,meta,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
informed_consent,html.Screen,0,2023-11-03T04:54:20.987Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=65971&platform=sona"",""userAgent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1"",""platform"":""iPhone"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":390,""screen_height"":844,""scroll_width"":390,""scroll_height"":745,""window_innerWidth"":390,""window_innerHeight"":663,""devicePixelRatio"":3}",,2717,response,consent,click button,3243,3234,508,505,517,3257,"{""participant"":""65971"",""platform"":""sona""}"
Welcome,html.Screen,1,2023-11-03T04:54:22.531Z,,colourful,1527,response,continue,click button,4787,4784,3251,3243,3257,4809,
