sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-11-01T17:47:16.340Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=66187&platform=sona"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.76"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1536,""screen_height"":1024,""scroll_width"":1488,""scroll_height"":850,""window_innerWidth"":1488,""window_innerHeight"":898,""devicePixelRatio"":1}",,,,5128.608000002236,response,,,,,,consent,click button,,7529.199999999255,7526.900000002235,2131.644,2389.300000000745,2398.292,7548.533,,,,"{""participant"":""66187"",""platform"":""sona""}",
Welcome,html.Screen,1,2023-11-01T17:47:47.940Z,,,,uniform,31578.367000002236,response,,,,,,continue,click button,,39129.10000000149,39126.900000002235,7515.509,7529.60000000149,7548.533,39135.216,,,,,
trial,html.Screen,2_0_0,2023-11-01T17:47:51.822Z,,0,0,,3875.5840000007447,response,ISIC_0025593.JPG,,ISIC_0063388.JPG,ISIC_0025593.JPG,true,1,keypress(m),500,43011.300000000745,43010.800000000745,39116.539,39129.5,39135.216,43017.201,1,6,1,,ISIC_0063388.JPG
sequence,flow.Sequence,2_0,2023-11-01T17:47:51.822Z,,0,,,3875.5840000007447,completion,,,,,true,,,,43011.900000002235,43010.800000000745,39116.539,39129.5,39135.216,43017.201,1,6,,,
trial,html.Screen,2_1_0,2023-11-01T17:47:58.245Z,,0,0,,6417.099000000744,response,ISIC_0028178.JPG,,ISIC_1309015.JPG,ISIC_0028178.JPG,true,1,keypress(m),500,49434.699999999255,49434.300000000745,43000.616,43012.10000000149,43017.201,49450.867,1,6,2,,ISIC_1309015.JPG
sequence,flow.Sequence,2_1,2023-11-01T17:47:58.245Z,,0,,,6417.099000000744,completion,,,,,true,,,,49435,49434.300000000745,43000.616,43012.10000000149,43017.201,49450.867,1,6,,,
trial,html.Screen,2_2_0,2023-11-01T17:48:01.471Z,,0,0,,3209.4330000007467,response,ISIC_3314853.JPG,,ISIC_0031128.JPG,ISIC_0031128.JPG,true,0,keypress(z),500,52660.60000000149,52660.300000000745,49434.196,49435.300000000745,49450.867,52667.238,1,6,3,,ISIC_3314853.JPG
sequence,flow.Sequence,2_2,2023-11-01T17:48:01.471Z,,0,,,3209.4330000007467,completion,,,,,true,,,,52660.800000000745,52660.300000000745,49434.196,49435.199999999255,49450.867,52667.238,1,6,,,
trial,html.Screen,2_3_0,2023-11-01T17:48:04.435Z,,0,0,,2956.9619999992574,response,ISIC_0031612.JPG,,ISIC_8980141.JPG,ISIC_0031612.JPG,true,1,keypress(m),500,55624.5,55624.199999999255,52651.007,52661,52667.238,55634.045,1,6,4,,ISIC_8980141.JPG
sequence,flow.Sequence,2_3,2023-11-01T17:48:04.435Z,,0,,,2956.9619999992574,completion,,,,,true,,,,55624.900000002235,55624.199999999255,52651.007,52660.900000002235,52667.238,55634.045,1,6,,,
