sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-11-02T04:26:54.065Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=67014&platform=sona"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1024,""screen_height"":1366,""scroll_width"":1366,""scroll_height"":933,""window_innerWidth"":1366,""window_innerHeight"":917,""devicePixelRatio"":2}",,,,3809,response,,,,,,consent,click button,,4346,4343,534,531,569,4360,,,,"{""participant"":""67014"",""platform"":""sona""}",
Welcome,html.Screen,1,2023-11-02T04:26:55.666Z,,,,symmetry,1592,response,,,,,,continue,click button,,5947,5946,4354,4347,4360,5958,,,,,
trial,html.Screen,2_0_0,2023-11-02T04:27:03.510Z,,0,0,,7839.000000000002,response,ISIC_6997061.JPG,,ISIC_0069348.JPG,ISIC_0069348.JPG,true,0,keypress(z),500,13791,13790.000000000002,5951,5948,5958,13801,1,6,1,,ISIC_6997061.JPG
sequence,flow.Sequence,2_0,2023-11-02T04:27:03.511Z,,0,,,7832.000000000002,completion,,,,,true,,,,13792,13790.000000000002,5951,5947,5958,13801,1,6,,,
trial,html.Screen,2_1_0,2023-11-02T04:27:06.773Z,,0,0,,3258,response,ISIC_0009529.JPG,,ISIC_0057368.JPG,ISIC_0057368.JPG,true,0,keypress(z),500,17054.000000000004,17053,13795,13792,13801,17065,1,6,2,,ISIC_0009529.JPG
sequence,flow.Sequence,2_1,2023-11-02T04:27:06.773Z,,0,,,3252,completion,,,,,true,,,,17054.000000000004,17053,13795,13792,13801,17065,1,6,,,
trial,html.Screen,2_2_0,2023-11-02T04:27:10.628Z,,0,0,,3851,response,ISIC_9758671.JPG,,ISIC_0064954.JPG,ISIC_0064954.JPG,true,0,keypress(z),500,20910,20909,17058,17054.000000000004,17065,20920,1,6,3,,ISIC_9758671.JPG
sequence,flow.Sequence,2_2,2023-11-02T04:27:10.629Z,,0,,,3844,completion,,,,,true,,,,20910,20909,17058,17054.000000000004,17065,20920,1,6,,,
trial,html.Screen,2_3_0,2023-11-02T04:27:14.140Z,,0,0,,3507,response,ISIC_0000080.JPG,,ISIC_0005785.JPG,ISIC_0005785.JPG,true,0,keypress(z),500,24422,24421,20914,20911,20920,24432,1,6,4,,ISIC_0000080.JPG
sequence,flow.Sequence,2_3,2023-11-02T04:27:14.141Z,,0,,,3501,completion,,,,,true,,,,24423,24421,20914,20911,20920,24432,1,6,,,
trial,html.Screen,2_4_0,2023-11-02T04:27:16.629Z,,0,0,,2484,response,ISIC_7944028.JPG,,ISIC_5390060.JPG,ISIC_7944028.JPG,true,1,keypress(m),500,26911,26910,24426,24423,24432,26918,1,6,5,,ISIC_5390060.JPG
sequence,flow.Sequence,2_4,2023-11-02T04:27:16.629Z,,0,,,2478,completion,,,,,true,,,,26911,26910,24426,24423,24432,26918,1,6,,,
trial,html.Screen,2_5_0,2023-11-02T04:27:19.427Z,,0,0,,2794.0000000000036,response,ISIC_0794216.JPG,,ISIC_0010188.JPG,ISIC_0010188.JPG,true,0,keypress(z),500,29709,29708.000000000004,26914,26911,26918,29716,1,6,6,,ISIC_0794216.JPG
sequence,flow.Sequence,2_5,2023-11-02T04:27:19.427Z,,0,,,2790.0000000000036,completion,,,,,true,,,,29709,29708.000000000004,26914,26911,26918,29716,1,6,,,
loop,flow.Loop,2,2023-11-02T04:27:19.428Z,,,,,23750.000000000004,completion,,,,,true,,,,29709,29708.000000000004,5951,5947,5958,29716,1,6,,,
