sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-11-06T21:06:00.551Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=65637&platform=sona"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":735,""window_innerWidth"":1440,""window_innerHeight"":783,""devicePixelRatio"":1}",,,,2407.722000011921,response,,,,,,consent,click button,,4736.70000000298,4724.300000011921,2299.911,2311,2316.578,4783.294,,,,"{""participant"":""65637"",""platform"":""sona""}",
Welcome,html.Screen,1,2023-11-06T21:06:03.533Z,,,,uniform,2911.006000011921,response,,,,,,continue,click button,,7718.70000000298,7694.300000011921,4733.293,4737.20000000298,4783.294,7733.353,,,,,
trial,html.Screen,2_0_0,2023-11-06T21:06:08.628Z,,0,0,,5079.947000011921,response,ISIC_0025593.JPG,,ISIC_0063388.JPG,ISIC_0063388.JPG,true,0,keypress(z),500,12813.60000000894,12813.300000011921,7716.686,7719.100000008941,7733.353,12817.277,1,6,1,,ISIC_0025593.JPG
sequence,flow.Sequence,2_0,2023-11-06T21:06:08.628Z,,0,,,5079.947000011921,completion,,,,,true,,,,12813.800000011921,12813.300000011921,7716.686,7719.100000008941,7733.353,12817.277,1,6,,,
trial,html.Screen,2_1_0,2023-11-06T21:06:14.663Z,,0,0,,6030.62300000596,response,ISIC_0028178.JPG,,ISIC_1309015.JPG,ISIC_0028178.JPG,true,1,keypress(m),500,18848.20000000298,18847.90000000596,12800.61,12813.90000000596,12817.277,18850.731,1,6,2,,ISIC_1309015.JPG
sequence,flow.Sequence,2_1,2023-11-06T21:06:14.663Z,,0,,,6030.62300000596,completion,,,,,true,,,,18848.5,18847.90000000596,12800.61,12813.90000000596,12817.277,18850.731,1,6,,,
trial,html.Screen,2_2_0,2023-11-06T21:06:20.653Z,,0,0,,5986.769,response,ISIC_3314853.JPG,,ISIC_0031128.JPG,ISIC_3314853.JPG,true,1,keypress(m),500,24837.80000001192,24837.5,18834.064,18848.70000000298,18850.731,24851.421,1,6,3,,ISIC_0031128.JPG
sequence,flow.Sequence,2_2,2023-11-06T21:06:20.653Z,,0,,,5986.769,completion,,,,,true,,,,24838.10000000894,24837.5,18834.064,18848.60000000894,18850.731,24851.421,1,6,,,
trial,html.Screen,2_3_0,2023-11-06T21:06:25.604Z,,0,0,,4937.0790000000015,response,ISIC_8980141.JPG,,ISIC_0031612.JPG,ISIC_0031612.JPG,true,0,keypress(z),500,29788.80000001192,29788.5,24834.754,24838.60000000894,24851.421,29801.52,1,6,4,,ISIC_8980141.JPG
sequence,flow.Sequence,2_3,2023-11-06T21:06:25.604Z,,0,,,4937.0790000000015,completion,,,,,true,,,,29789.20000000298,29788.5,24834.754,24838.5,24851.421,29801.52,1,6,,,
