sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-05-03T18:27:19.021Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=64989"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":772,""window_innerWidth"":1440,""window_innerHeight"":820,""devicePixelRatio"":2}",,,,2720,response,,,,,,consent,click button,,9374,9366,6646,2166,6714,9414,,,,"{""participant"":""64989""}",
Welcome,html.Screen,1,2023-05-03T18:27:20.388Z,,,,regular,1343.0000000000018,response,,,,,,continue,click button,,10741,10732.000000000002,9389,9375,9414,10798,,,,,
trial,html.Screen,2_0_0,2023-05-03T18:27:31.489Z,,0,0,,11078,response,ISIC_0061792.JPG,,ISIC_4679428.JPG,ISIC_0061792.JPG,true,1,keypress(m),500,21843,21842,10764,10742,10798,21898,1,6,1,,ISIC_4679428.JPG
sequence,flow.Sequence,2_0,2023-05-03T18:27:31.490Z,,0,,,11044,completion,,,,,true,,,,21844,21842,10764,10742,10798,21898,1,6,,,
trial,html.Screen,2_1_0,2023-05-03T18:27:37.237Z,,0,0,,5725,response,ISIC_0776486.JPG,,ISIC_5199497.JPG,ISIC_0776486.JPG,true,1,keypress(m),500,27591,27590,21865,21844,21898,27648,1,6,2,,ISIC_5199497.JPG
sequence,flow.Sequence,2_1,2023-05-03T18:27:37.238Z,,0,,,5692,completion,,,,,true,,,,27591,27590,21865,21844,21898,27648,1,6,,,
trial,html.Screen,2_2_0,2023-05-03T18:27:43.650Z,,0,0,,6388,response,ISIC_2556187.JPG,,ISIC_8575776.JPG,ISIC_2556187.JPG,true,1,keypress(m),500,34004,34003,27615,27592.000000000004,27648,34048,1,6,3,,ISIC_8575776.JPG
sequence,flow.Sequence,2_2,2023-05-03T18:27:43.650Z,,0,,,6355,completion,,,,,true,,,,34004,34003,27615,27592.000000000004,27648,34048,1,6,,,
trial,html.Screen,2_3_0,2023-05-03T18:27:48.446Z,,0,0,,4785,response,ISIC_8141769.JPG,,ISIC_9238366.JPG,ISIC_8141769.JPG,true,1,keypress(m),500,38800.00000000001,38799,34014,34004,34048,38848,1,6,4,,ISIC_9238366.JPG
sequence,flow.Sequence,2_3,2023-05-03T18:27:48.447Z,,0,,,4751,completion,,,,,true,,,,38800.00000000001,38799,34014,34004,34048,38848,1,6,,,
trial,html.Screen,2_4_0,2023-05-03T18:27:59.962Z,,0,0,,11533,timeout,ISIC_8949026.JPG,,ISIC_9959593.JPG,,true,,,500,50316,50316,38815,38801,38848,50381,1,6,5,,
sequence,flow.Sequence,2_4,2023-05-03T18:27:59.963Z,,0,,,11468,completion,,,,,true,,,,50317,50316,38815,38801,38848,50381,1,6,,,
trial,html.Screen,2_5_0,2023-05-03T18:28:04.433Z,,0,0,,4438,response,ISIC_0010479.JPG,,ISIC_0460240.JPG,ISIC_0010479.JPG,true,1,keypress(m),500,54787,54787,50349,50317,50381,54849,1,6,6,,ISIC_0460240.JPG
sequence,flow.Sequence,2_5,2023-05-03T18:28:04.434Z,,0,,,4406,completion,,,,,true,,,,54788.00000000001,54787,50349,50317,50381,54849,1,6,,,
loop,flow.Loop,2,2023-05-03T18:28:04.434Z,,,,,43989,completion,,,,,true,,,,54788.00000000001,54787,10764,10741,10798,54849,1,6,,,
exp_instructions,html.Screen,3,2023-05-03T18:28:08.925Z,,,,,4449,response,,,,,,continue,keypress(Space),,59279,59264,54815,54789,54849,59332,,,,,
trial,html.Screen,4_0_0,2023-05-03T18:28:14.809Z,,0,1,,5865,response,ISIC_9122215.JPG,,ISIC_0016131.JPG,ISIC_0016131.JPG,false,0,keypress(z),500,65164,65163,59298,59280,59332,65216,8,400,1,,ISIC_9122215.JPG
break,html.Screen,4_0_1,2023-05-03T18:28:14.810Z,,0,,,NaN,,,,,,false,,,,65165.00000000001,65165.00000000001,,65164,,65216,8,400,,,
break_continue,html.Screen,4_0_2,2023-05-03T18:28:14.811Z,,0,,,NaN,,,,,,false,,,,65166,65165.00000000001,,65165.00000000001,,65216,8,400,,,
sequence,flow.Sequence,4_0,2023-05-03T18:28:14.811Z,,0,,,5833.000000000007,completion,,,,,false,,,,65166,65165.00000000001,59298,59280,59332,65216,8,400,,,
trial,html.Screen,4_1_0,2023-05-03T18:28:21.419Z,,0,1,,6591,response,ISIC_0000087.JPG,,ISIC_8569205.JPG,ISIC_8569205.JPG,false,0,keypress(z),500,71774,71773,65182,65166,65216,71832,8,400,2,,ISIC_0000087.JPG
break,html.Screen,4_1_1,2023-05-03T18:28:21.421Z,,0,,,NaN,,,,,,false,,,,71775,71775,,71774,,71832,8,400,,,
break_continue,html.Screen,4_1_2,2023-05-03T18:28:21.421Z,,0,,,NaN,,,,,,false,,,,71776,71776,,71775,,71832,8,400,,,
sequence,flow.Sequence,4_1,2023-05-03T18:28:21.421Z,,0,,,6560,completion,,,,,false,,,,71776,71776,65182,65166,65216,71832,8,400,,,
trial,html.Screen,4_2_0,2023-05-03T18:28:26.013Z,,0,1,,4568,response,ISIC_3963183.JPG,,ISIC_7413786.JPG,ISIC_3963183.JPG,false,1,keypress(m),500,76368,76367,71799,71776,71832,76416,8,400,3,,ISIC_7413786.JPG
break,html.Screen,4_2_1,2023-05-03T18:28:26.014Z,,0,,,NaN,,,,,,false,,,,76369,76369,,76368,,76416,8,400,,,
break_continue,html.Screen,4_2_2,2023-05-03T18:28:26.015Z,,0,,,NaN,,,,,,false,,,,76369,76369,,76369,,76416,8,400,,,
sequence,flow.Sequence,4_2,2023-05-03T18:28:26.015Z,,0,,,4537,completion,,,,,false,,,,76370,76369,71799,71776,71832,76416,8,400,,,
