sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-09-06T22:54:13.284Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=5bb8ffebc8d0070001168380&STUDY_ID=64f8c92207ba404bcb356c90&SESSION_ID=64f9029bd2d57daf0535aef1&platform=prolific"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/New_York"",""timezoneOffset"":240,""screen_width"":412,""screen_height"":892,""scroll_width"":412,""scroll_height"":806,""window_innerWidth"":412,""window_innerHeight"":750,""devicePixelRatio"":2.625}",,,,110422.61500000596,response,,,,,consent,click button,,112883.40000000596,112874.90000000596,1818.697,2439.7000000029802,2452.285,112893.84,,,,"{""participant"":""5bb8ffebc8d0070001168380"",""STUDY_ID"":""64f8c92207ba404bcb356c90"",""SESSION_ID"":""64f9029bd2d57daf0535aef1"",""platform"":""prolific""}"
Welcome,html.Screen,1,2023-09-06T22:55:11.239Z,,,,symmetry,57936.460000004474,response,,,,,continue,click button,,170838.6000000015,170830.30000000447,112877.163,112883.90000000596,112893.84,170849.435,,,,
trial,html.Screen,2_0_0,2023-09-06T22:55:23.253Z,,0,0,,12018.231,timeout,ISIC_6997061.JPG,,ISIC_0069348.JPG,true,,,500,182853.30000000447,182852.90000000596,170841.095,170839.1000000015,170849.435,182867.666,1,6,1,
sequence,flow.Sequence,2_0,2023-09-06T22:55:23.254Z,,0,,,12003.465000005963,completion,,,,true,,,,182853.70000000298,182852.90000000596,170841.095,170839.1000000015,170849.435,182867.666,1,6,,
