sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-05-01T20:28:27.900Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=64638"",""userAgent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1"",""platform"":""iPhone"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":390,""screen_height"":844,""scroll_width"":390,""scroll_height"":758,""window_innerWidth"":390,""window_innerHeight"":664,""devicePixelRatio"":3}",,,,7842,response,,,,,consent,click button,,9845,9842,1977,1973,2000,9871,,,,"{""participant"":""64638""}"
Welcome,html.Screen,1,2023-05-01T20:28:41.553Z,,,,irregular,13625.000000000004,response,,,,,continue,click button,,23498,23496.000000000004,9860,9846,9871,23511,,,,
trial,html.Screen,2_0_0,2023-05-01T20:28:53.051Z,,0,0,,11517,timeout,ISIC_0061792.JPG,,ISIC_4679428.JPG,true,,,500,34996,34995,23506,23499,23511,35028,1,6,1,
sequence,flow.Sequence,2_0,2023-05-01T20:28:53.052Z,,0,,,11484,completion,,,,true,,,,34997,34995,23506,23499,23511,35028,1,6,,
trial,html.Screen,2_1_0,2023-05-01T20:29:04.571Z,,0,0,,11521,timeout,ISIC_0776486.JPG,,ISIC_5199497.JPG,true,,,500,46516,46516,35011,34998,35028,46549,1,6,2,
sequence,flow.Sequence,2_1,2023-05-01T20:29:04.572Z,,0,,,11488,completion,,,,true,,,,46517,46516,35011,34998,35028,46549,1,6,,
trial,html.Screen,2_2_0,2023-05-01T20:29:16.093Z,,0,0,,11522,timeout,ISIC_2556187.JPG,,ISIC_8575776.JPG,true,,,500,58039,58038.00000000001,46532,46518,46549,58071,1,6,3,
sequence,flow.Sequence,2_2,2023-05-01T20:29:16.094Z,,0,,,11489.000000000007,completion,,,,true,,,,58040,58038.00000000001,46532,46518,46549,58071,1,6,,
trial,html.Screen,2_3_0,2023-05-01T20:29:27.614Z,,0,0,,11521,timeout,ISIC_8141769.JPG,,ISIC_9238366.JPG,true,,,500,69560,69559,58055,58040,58071,69592,1,6,4,
sequence,flow.Sequence,2_3,2023-05-01T20:29:27.615Z,,0,,,11488,completion,,,,true,,,,69561,69559,58055,58040,58071,69592,1,6,,
