sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-09-08T20:44:16.294Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=6389301d2575b8e4c1e7cc5c&STUDY_ID=64f8c92207ba404bcb356c90&SESSION_ID=64fb876db922f4897a02b00b&platform=prolific"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/New_York"",""timezoneOffset"":240,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,32165.92500009537,response,,,,,,consent,click button,,36966.2000002861,36955.90000009537,4706.44,4698.5,4789.975,37036.588,,,,"{""participant"":""6389301d2575b8e4c1e7cc5c"",""STUDY_ID"":""64f8c92207ba404bcb356c90"",""SESSION_ID"":""64fb876db922f4897a02b00b"",""platform"":""prolific""}",
Welcome,html.Screen,1,2023-09-08T20:45:28.412Z,,,,asymmetry,72044.31200009536,response,,,,,,continue,click button,,109083.90000009537,109080.90000009537,36952.883,36967.2000002861,37036.588,109085.337,,,,,
trial,html.Screen,2_0_0,2023-09-08T20:45:34.120Z,,0,0,,5705.26300038147,response,ISIC_0069348.JPG,,ISIC_6997061.JPG,ISIC_6997061.JPG,true,0,keypress(z),500,114791.40000009537,114790.60000038147,109068.632,109084.90000009537,109085.337,114802.73,1,6,1,,ISIC_0069348.JPG
sequence,flow.Sequence,2_0,2023-09-08T20:45:34.121Z,,0,,,5705.26300038147,completion,,,,,true,,,,114792.60000038147,114790.60000038147,109068.632,109084.7000002861,109085.337,114802.73,1,6,,,
trial,html.Screen,2_1_0,2023-09-08T20:45:40.476Z,,0,0,,6344.570000190739,response,ISIC_0009529.JPG,,ISIC_0057368.JPG,ISIC_0009529.JPG,true,1,keypress(m),500,121147.90000009537,121147.30000019073,114786.021,114793,114802.73,121167.701,1,6,2,,ISIC_0057368.JPG
sequence,flow.Sequence,2_1,2023-09-08T20:45:40.477Z,,0,,,6344.570000190739,completion,,,,,true,,,,121148.7000002861,121147.30000019073,114786.021,114792.90000009537,114802.73,121167.701,1,6,,,
trial,html.Screen,2_2_0,2023-09-08T20:45:45.701Z,,0,0,,5204.399000381469,response,ISIC_9758671.JPG,,ISIC_0064954.JPG,ISIC_0064954.JPG,true,0,keypress(z),500,126372.7000002861,126372.10000038147,121150.995,121149.40000009537,121167.701,126379.603,1,6,3,,ISIC_9758671.JPG
sequence,flow.Sequence,2_2,2023-09-08T20:45:45.702Z,,0,,,5204.399000381469,completion,,,,,true,,,,126373.60000038147,126372.10000038147,121150.995,121149.2000002861,121167.701,126379.603,1,6,,,
trial,html.Screen,2_3_0,2023-09-08T20:45:49.727Z,,0,0,,4018.5970002860995,response,ISIC_0005785.JPG,,ISIC_0000080.JPG,ISIC_0000080.JPG,true,0,keypress(z),500,130398.90000009537,130398.2000002861,126362.899,126374.2000002861,126379.603,130405.949,1,6,4,,ISIC_0005785.JPG
sequence,flow.Sequence,2_3,2023-09-08T20:45:49.728Z,,0,,,4018.5970002860995,completion,,,,,true,,,,130400,130398.2000002861,126362.899,126374.10000038147,126379.603,130405.949,1,6,,,
trial,html.Screen,2_4_0,2023-09-08T20:45:53.597Z,,0,0,,3862.1510003814765,response,ISIC_7944028.JPG,,ISIC_5390060.JPG,ISIC_7944028.JPG,true,1,keypress(m),500,134268.90000009537,134268.10000038147,130389.246,130400.60000038147,130405.949,134281.979,1,6,5,,ISIC_5390060.JPG
