sender,sender_type,sender_id,timestamp,meta,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
informed_consent,html.Screen,0,2023-11-03T02:02:40.295Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=67316&platform=sona"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.69"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1366,""screen_height"":768,""scroll_width"":1318,""scroll_height"":598,""window_innerWidth"":1318,""window_innerHeight"":646,""devicePixelRatio"":1}",,4771.009999904632,response,consent,click button,9347.900000095367,9344.599999904633,4540.24,4535.5,4573.59,9372.259,"{""participant"":""67316"",""platform"":""sona""}"
Welcome,html.Screen,1,2023-11-03T02:02:41.385Z,,colourful,1064.8409999046326,response,continue,click button,10438.400000095367,10437.099999904633,9339.045,9348.200000047684,9372.259,10439.845,
