sender,sender_type,sender_id,timestamp,meta,condition,duration,ended_on,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
informed_consent,html.Screen,0,2023-11-01T01:00:35.229Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=67316&platform=sona"",""userAgent"":""Mozilla/5.0 (iPad; CPU OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/118.0.5993.92 Mobile/15E148 Safari/604.1"",""platform"":""iPad"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":834,""screen_height"":1194,""scroll_width"":834,""scroll_height"":1146,""window_innerWidth"":834,""window_innerHeight"":1150,""devicePixelRatio"":2}",,2251,response,consent,click button,5411.000000000001,5409,3154,3151.0000000000005,3158,5433,"{""participant"":""67316"",""platform"":""sona""}"
Welcome,html.Screen,1,2023-11-01T01:00:57.984Z,,symmetry,22728,response,continue,click button,28167,28161,5421,5411.000000000001,5433,28179,
