sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-09-11T18:26:42.125Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=67602&platform=sona"",""userAgent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1"",""platform"":""iPhone"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":430,""screen_height"":932,""scroll_width"":430,""scroll_height"":821,""window_innerWidth"":430,""window_innerHeight"":740,""devicePixelRatio"":3}",,,,10692.000000000002,response,,,,,consent,click button,,16382.000000000002,16368.000000000002,5663,5660,5676,16403,,,,"{""participant"":""67602"",""platform"":""sona""}"
Welcome,html.Screen,1,2023-09-11T18:26:44.440Z,,,,symmetry,2294,response,,,,,continue,click button,,18698,18697,16397,16383,16403,18708,,,,
trial,html.Screen,2_0_0,2023-09-11T18:26:55.934Z,,0,0,,11517,timeout,ISIC_0069348.JPG,,ISIC_6997061.JPG,true,,,500,30193,30192,18703,18699,18708,30225,1,6,1,
sequence,flow.Sequence,2_0,2023-09-11T18:26:55.935Z,,0,,,11484,completion,,,,true,,,,30193,30192,18703,18699,18708,30225,1,6,,
trial,html.Screen,2_1_0,2023-09-11T18:27:07.456Z,,0,0,,11522,timeout,ISIC_0057368.JPG,,ISIC_0009529.JPG,true,,,500,41714,41714,30208,30194,30225,41747,1,6,2,
sequence,flow.Sequence,2_1,2023-09-11T18:27:07.456Z,,0,,,11489,completion,,,,true,,,,41715,41714,30208,30194,30225,41747,1,6,,
trial,html.Screen,2_2_0,2023-09-11T18:27:18.972Z,,0,0,,11517,timeout,ISIC_9758671.JPG,,ISIC_0064954.JPG,true,,,500,53231,53231,41730,41715,41747,53264,1,6,3,
sequence,flow.Sequence,2_2,2023-09-11T18:27:18.972Z,,0,,,11484,completion,,,,true,,,,53231,53231,41730,41715,41747,53264,1,6,,
