sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
trial,html.Screen,4_6_0,2023-11-15T15:21:33.226Z,,,,0,0.8926778502294954,0.9164454040166848,,true,ll,2524.555999994045,response,-1.200284020742371,1.0499999999999998,-1.0499999999999998,-1.0002918079433898,1.0499999999999998,-1.0499999999999998,low,low,,ISIC_0011460.JPG,,ISIC_0678758.JPG,111,true,ll,keypress(f),100,false,190885.69999998808,190885.59999999404,188344.603,188338,188361.044,190911.07,1,16,7,
sequence,flow.Sequence,4_6,2023-11-15T15:21:33.226Z,,,,,,,,,,2524.555999994045,completion,,,,,,,low,low,,,,,,true,,,,false,190886,190885.59999999404,188344.603,188338,188361.044,190911.07,1,16,,
trial,html.Screen,4_7_0,2023-11-15T15:21:35.598Z,,,,0,1.2296334397777855,1.022420086815287,,true,ll,2346.729999997013,response,-1.1920465299859582,1.0499999999999998,-1.0499999999999998,-0.9548921292696696,1.0499999999999998,-1.0499999999999998,low,low,,ISIC_0073173.JPG,,ISIC_5566396.JPG,111,true,ll,keypress(f),100,false,193258.09999999404,193257.79999999702,190894.499,190886.09999999404,190911.07,193277.854,1,16,8,
sequence,flow.Sequence,4_7,2023-11-15T15:21:35.598Z,,,,,,,,,,2346.729999997013,completion,,,,,,,low,low,,,,,,true,,,,false,193258.5,193257.79999999702,190894.499,190886.09999999404,190911.07,193277.854,1,16,,
trial,html.Screen,4_8_0,2023-11-15T15:21:46.919Z,,,,0,-0.8534691366511764,1.03975580494588,,true,hl,11301.045999991067,response,0.7723849213858904,0.9499999999999997,-0.9499999999999997,-0.888372424147899,0.9499999999999997,-0.9499999999999997,high,low,,ISIC_0056788.JPG,,ISIC_3884221.JPG,26,true,hl,keypress(j),100,false,204579.09999999404,204578.89999999106,193261.062,193258.59999999404,193277.854,204611.282,1,16,9,
sequence,flow.Sequence,4_8,2023-11-15T15:21:46.919Z,,,,,,,,,,11301.045999991067,completion,,,,,,,high,low,,,,,,true,,,,false,204579.29999999702,204578.89999999106,193261.062,193258.5,193277.854,204611.282,1,16,,
trial,html.Screen,4_9_0,2023-11-15T15:21:54.123Z,,,,0,-0.879102500583965,1.0933081951979773,,true,hl,7171.617999991053,response,1.0022829373011404,0.9499999999999997,-0.9499999999999997,-0.8311726972863814,0.9499999999999997,-0.9499999999999997,high,low,,ISIC_0046223.JPG,,ISIC_0033287.JPG,26,true,hl,keypress(j),100,false,211783,211782.89999999106,204594.63,204579.39999999106,204611.282,211811.06,1,16,10,
sequence,flow.Sequence,4_9,2023-11-15T15:21:54.123Z,,,,,,,,,,7171.617999991053,completion,,,,,,,high,low,,,,,,true,,,,false,211783.19999998808,211782.89999999106,204594.63,204579.29999999702,204611.282,211811.06,1,16,,
trial,html.Screen,4_10_0,2023-11-15T15:22:01.648Z,,,,0,-0.9696118525781644,0.9244148283103414,,true,hl,7496.539999994042,response,1.0213365328004047,0.9499999999999997,-0.9499999999999997,-1.088524359911891,0.9499999999999997,-0.9499999999999997,high,low,,ISIC_7927525.JPG,,ISIC_5434229.JPG,26,true,hl,keypress(j),100,false,219307.69999998808,219307.59999999404,211794.636,211783.29999999702,211811.06,219327.743,1,16,11,
sequence,flow.Sequence,4_10,2023-11-15T15:22:01.648Z,,,,,,,,,,7496.539999994042,completion,,,,,,,high,low,,,,,,true,,,,false,219307.89999999106,219307.59999999404,211794.636,211783.29999999702,211811.06,219327.743,1,16,,
trial,html.Screen,4_11_0,2023-11-15T15:22:04.643Z,,,,0,-1.1181734135756094,0.944560381774994,,true,hl,2975.2570000000123,response,0.7871162143493278,0.9499999999999997,-0.9499999999999997,-0.8429329800778957,0.9499999999999997,-0.9499999999999997,high,low,,ISIC_9688534.JPG,,ISIC_3439215.JPG,26,true,hl,keypress(j),100,false,222303.09999999404,222303,219311.092,219308,219327.743,222327.834,1,16,12,
sequence,flow.Sequence,4_11,2023-11-15T15:22:04.643Z,,,,,,,,,,2975.2570000000123,completion,,,,,,,high,low,,,,,,true,,,,false,222303.29999999702,222303,219311.092,219308,219327.743,222327.834,1,16,,
trial,html.Screen,4_12_0,2023-11-15T15:22:07.382Z,,,,0,-0.8012073849444404,-0.8279987487454253,,true,hh,2714.5659999910567,response,0.9254369922344792,0.9499999999999997,-0.9499999999999997,0.801722142776163,0.9499999999999997,-0.9499999999999997,high,high,,ISIC_0030703.JPG,,ISIC_3236964.JPG,167,true,hh,keypress(i),100,false,225042.39999999106,225042.39999999106,222311.182,222303.29999999702,222327.834,225061.267,1,16,13,
sequence,flow.Sequence,4_12,2023-11-15T15:22:07.383Z,,,,,,,,,,2714.5659999910567,completion,,,,,,,high,high,,,,,,true,,,,false,225042.59999999404,225042.39999999106,222311.182,222303.29999999702,222327.834,225061.267,1,16,,
trial,html.Screen,4_13_0,2023-11-15T15:22:09.402Z,,,,0,-1.057008495826831,-1.1278122585028287,,true,hh,2001.1329999910668,response,0.7858981101622865,0.9499999999999997,-0.9499999999999997,1.098700382725708,0.9499999999999997,-0.9499999999999997,high,high,,ISIC_2819798.JPG,,ISIC_0059733.JPG,167,true,hh,keypress(i),100,false,227062.59999999404,227062.39999999106,225044.402,225042.69999998808,225061.267,227094.663,1,16,14,
sequence,flow.Sequence,4_13,2023-11-15T15:22:09.403Z,,,,,,,,,,2001.1329999910668,completion,,,,,,,high,high,,,,,,true,,,,false,227062.69999998808,227062.39999999106,225044.402,225042.69999998808,225061.267,227094.663,1,16,,
trial,html.Screen,4_14_0,2023-11-15T15:22:11.039Z,,,,0,-1.0859458972647518,-0.9241823104580792,,true,hh,1603.7369999910588,response,0.7794764467486859,0.9499999999999997,-0.9499999999999997,0.9078715061989836,0.9499999999999997,-0.9499999999999997,high,high,,ISIC_0011721.JPG,,ISIC_9210255.JPG,167,true,hh,keypress(i),100,false,228698.59999999404,228698.39999999106,227077.866,227062.89999999106,227094.663,228727.852,1,16,15,
sequence,flow.Sequence,4_14,2023-11-15T15:22:11.039Z,,,,,,,,,,1603.7369999910588,completion,,,,,,,high,high,,,,,,true,,,,false,228698.69999998808,228698.39999999106,227077.866,227062.79999999702,227094.663,228727.852,1,16,,
trial,html.Screen,4_15_0,2023-11-15T15:22:13.027Z,,,,0,-0.7647549879784493,-0.777443662430605,,true,hh,1959.0479999910458,response,0.8990371936242809,0.9499999999999997,-0.9499999999999997,0.9654850730344297,0.9499999999999997,-0.9499999999999997,high,high,,ISIC_0012435.JPG,,ISIC_0010308.JPG,167,true,hh,keypress(i),100,false,230687.09999999404,230686.89999999106,228711.323,228698.79999999702,228727.852,230711.143,1,16,16,
sequence,flow.Sequence,4_15,2023-11-15T15:22:13.028Z,,,,,,,,,,1959.0479999910458,completion,,,,,,,high,high,,,,,,true,,,,false,230687.5,230686.89999999106,228711.323,228698.79999999702,228727.852,230711.143,1,16,,
demonstration_loop,flow.Loop,4,2023-11-15T15:22:13.028Z,,,,,,,,,,82609.10099999106,completion,,,,,,,,,,,,,,true,,,,false,230687.69999998808,230686.89999999106,148060.964,148060.79999999702,148077.799,230711.143,1,16,,
practice_instructions,html.Screen,5,2023-11-15T15:22:27.377Z,,,,,,,,,,14316.956999994029,response,,,,,,,,,,,,,,,continue,click button,,,245036.89999999106,245028.09999999404,230694.468,230687.79999999702,230711.143,245044.442,,,,
trial,html.Screen,6_0_0,2023-11-15T15:22:30.754Z,,,,1,0.8023139365538781,0.8089024151174812,,true,ll,3369.3579999970098,response,-0.7647836924873925,0.9499999999999997,-0.9499999999999997,-0.8316555381467203,0.9499999999999997,-0.9499999999999997,low,low,,ISIC_3897960.JPG,,ISIC_0027145.JPG,142,true,ll,keypress(f),0,false,248414.09999999404,248413.79999999702,245027.855,245037.09999999404,245044.442,248444.637,1,20,1,
sequence,flow.Sequence,6_0,2023-11-15T15:22:30.755Z,,,,,,,,,,3369.3579999970098,completion,,,,,,,low,low,,,,,,true,,,,false,248414.5,248413.79999999702,245027.855,245037.09999999404,245044.442,248444.637,1,20,,
trial,html.Screen,6_1_0,2023-11-15T15:22:33.465Z,,,,1,-0.8534691366511764,1.03975580494588,,true,hl,2679.662999997032,response,1.0213365328004047,0.9499999999999997,-0.9499999999999997,-1.088524359911891,0.9499999999999997,-0.9499999999999997,high,low,,ISIC_0056788.JPG,,ISIC_5434229.JPG,26,true,hl,keypress(j),0,false,251124.29999999702,251124.29999999702,248427.828,248414.69999998808,248444.637,251127.731,1,20,2,
sequence,flow.Sequence,6_1,2023-11-15T15:22:33.465Z,,,,,,,,,,2679.662999997032,completion,,,,,,,high,low,,,,,,true,,,,false,251124.5,251124.29999999702,248427.828,248414.69999998808,248444.637,251127.731,1,20,,
trial,html.Screen,6_2_0,2023-11-15T15:22:35.033Z,,,,1,-0.7877939497981142,0.8415032780288271,,true,hl,1564.8689999940398,response,0.796241477082623,0.9499999999999997,-0.9499999999999997,-0.9017449335975743,0.9499999999999997,-0.9499999999999997,high,low,,ISIC_0067308.JPG,,ISIC_8588033.JPG,26,true,hl,keypress(j),0,false,252692.79999999702,252692.59999999404,251111.005,251124.5,251127.731,252694.431,1,20,3,
sequence,flow.Sequence,6_2,2023-11-15T15:22:35.033Z,,,,,,,,,,1564.8689999940398,completion,,,,,,,high,low,,,,,,true,,,,false,252693,252692.59999999404,251111.005,251124.5,251127.731,252694.431,1,20,,
trial,html.Screen,6_3_0,2023-11-15T15:22:36.618Z,,,,1,-0.9579209317488,1.0147487101263497,,true,hl,1582.6689999940281,response,0.8200962008791046,0.9499999999999997,-0.9499999999999997,-0.7936051642828523,0.9499999999999997,-0.9499999999999997,high,low,,ISIC_8124482.JPG,,ISIC_0027031.JPG,26,true,hl,keypress(j),0,false,254277.29999999702,254277.09999999404,252677.724,252693.09999999404,252694.431,254294.628,1,20,4,
sequence,flow.Sequence,6_3,2023-11-15T15:22:36.618Z,,,,,,,,,,1582.6689999940281,completion,,,,,,,high,low,,,,,,true,,,,false,254277.59999999404,254277.09999999404,252677.724,252693.09999999404,252694.431,254294.628,1,20,,
trial,html.Screen,6_4_0,2023-11-15T15:22:39.226Z,,,,1,0.7911024675435955,-0.7975977016137676,,true,lh,2590.9719999940426,response,-1.0656673213158945,0.9499999999999997,-0.9499999999999997,0.8082541692781954,0.9499999999999997,-0.9499999999999997,low,high,,ISIC_5813642.JPG,,ISIC_0033985.JPG,28,true,lh,keypress(e),0,false,256885.79999999702,256885.59999999404,254277.872,254277.69999998808,254294.628,256894.492,1,20,5,
sequence,flow.Sequence,6_4,2023-11-15T15:22:39.227Z,,,,,,,,,,2590.9719999940426,completion,,,,,,,low,high,,,,,,true,,,,false,256886.19999998808,256885.59999999404,254277.872,254277.69999998808,254294.628,256894.492,1,20,,
trial,html.Screen,6_5_0,2023-11-15T15:22:41.177Z,,,,1,0.943978570218156,0.9420387258741144,,true,ll,1942.407999991061,response,-0.9029354290897352,0.9499999999999997,-0.9499999999999997,-1.1346860677105404,0.9499999999999997,-0.9499999999999997,low,low,,ISIC_0011642.JPG,,ISIC_4153687.JPG,142,true,ll,keypress(f),0,false,258837.09999999404,258836.89999999106,256877.941,256886.29999999702,256894.492,258844.477,1,20,6,
sequence,flow.Sequence,6_5,2023-11-15T15:22:41.178Z,,,,,,,,,,1942.407999991061,completion,,,,,,,low,low,,,,,,true,,,,false,258837.29999999702,258836.89999999106,256877.941,256886.29999999702,256894.492,258844.477,1,20,,
