sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-15T15:33:04.507Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1920,""screen_height"":1080,""scroll_width"":945,""scroll_height"":918,""window_innerWidth"":945,""window_innerHeight"":966,""devicePixelRatio"":1}",,,,,,,,,31464.169000035763,response,,,,,,,,,,,,,,,consent,click button,,,31981.5,31973.400000035763,492.551,640.5,509.231,31859.188,,,,{}
Demography form,html.Form,1,2023-11-15T15:33:25.754Z,,,18,,,,,,,21369.812,form submission,,,,,,,,,female,,,,,,,,,,53229.30000001192,53229,31842.764,31981.80000001192,31859.188,53093.362,,,,
Welcome,html.Screen,2,2023-11-15T15:33:55.652Z,,,,,,,"[""bor"",""col""]",,,30032.93800001192,response,,,,,,,,,,,,,,,continue,click button,,,83127,83126.30000001192,53059.156,53229.30000001192,53093.362,83009.395,,,,
demo_instructions,html.Screen,3,2023-11-15T15:34:04.611Z,,,,,,,,,,9076.104999999996,response,,,,,,,,,,,,,,,continue,click button,,,92086.19999998808,92085.5,82992.736,83127,83009.395,91942.445,,,,
trial,html.Screen,4_0_0,2023-11-15T15:34:11.203Z,,,,0,0.8350129142228142,-0.8172547818270586,,true,lh,6735.254999988072,response,-0.7088606387153258,0.8999999999999997,-0.8999999999999997,0.948610930521224,0.8999999999999997,-0.8999999999999997,low,high,,ISIC_0301568.JPG,,ISIC_0026293.JPG,29,true,lh,keypress(e),100,false,98677.90000003576,98677.69999998808,91926.021,92086.40000003576,91942.445,98559.212,1,16,1,
sequence,flow.Sequence,4_0,2023-11-15T15:34:11.208Z,,,,,,,,,,6735.254999988072,completion,,,,,,,low,high,,,,,,true,,,,false,98683.10000002384,98677.69999998808,91926.021,92086.40000003576,91942.445,98559.212,1,16,,
trial,html.Screen,4_1_0,2023-11-15T15:34:18.635Z,,,,0,1.0116417541846066,-1.033442916947398,,true,lh,7550.388000023842,response,-0.8954803463300026,0.8999999999999997,-0.8999999999999997,0.7071819047913821,0.8999999999999997,-0.8999999999999997,low,high,,ISIC_0031389.JPG,,ISIC_0033071.JPG,29,true,lh,keypress(e),100,false,106109.80000001192,106109.60000002384,98542.709,98683.19999998808,98559.212,105992.626,1,16,2,
sequence,flow.Sequence,4_1,2023-11-15T15:34:18.635Z,,,,,,,,,,7550.388000023842,completion,,,,,,,low,high,,,,,,true,,,,false,106110,106109.60000002384,98542.709,98683.19999998808,98559.212,105992.626,1,16,,
trial,html.Screen,4_2_0,2023-11-15T15:34:25.742Z,,,,0,0.7692916291112835,-0.7818604706992622,,true,lh,7223.974000023838,response,-1.058275612142778,0.8999999999999997,-0.8999999999999997,0.7824898568540655,0.8999999999999997,-0.8999999999999997,low,high,,ISIC_7844825.JPG,,ISIC_4906385.JPG,29,true,lh,keypress(e),100,false,113216.80000001192,113216.60000002384,105975.955,106110,105992.626,113092.601,1,16,3,
sequence,flow.Sequence,4_2,2023-11-15T15:34:25.742Z,,,,,,,,,,7223.974000023838,completion,,,,,,,low,high,,,,,,true,,,,false,113217,113216.60000002384,105975.955,106110,105992.626,113092.601,1,16,,
