sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
sequence,flow.Sequence,4_6,2023-11-17T20:04:50.205Z,,,,,,,,,,,5033.740999976144,completion,,,,,,,low,low,,,,,,true,,,,,false,154837.79999995232,154836.89999997616,149786.64,149981.5,149803.159,154653.187,1,16,,
trial,html.Screen,4_7_0,2023-11-17T20:04:57.808Z,,,,0,1.2059606637811695,1.214966446488752,,,true,ll,7788.012999988074,response,-1.1990772227054871,1.2,-1.2,-1.1224329926844498,1.2,-1.2,low,low,,ISIC_0013334.JPG,,ISIC_3425388.JPG,25,true,0.15000000000000002,ll,keypress(f),100,false,162441.29999995232,162441.19999998808,154636.511,154838.09999996424,154653.187,162253.105,1,16,8,
sequence,flow.Sequence,4_7,2023-11-17T20:04:57.808Z,,,,,,,,,,,7788.012999988074,completion,,,,,,,low,low,,,,,,true,,,,,false,162441.5,162441.19999998808,154636.511,154838,154653.187,162253.105,1,16,,
trial,html.Screen,4_8_0,2023-11-17T20:05:10.362Z,,,,0,-0.8534691366511764,1.276663727068437,,,true,hl,12741.994999964227,response,0.9225524349657857,1.2,-1.2,-0.929746784178986,1.2,-1.2,high,low,,ISIC_0056788.JPG,,ISIC_0011077.JPG,26,true,0.3300000000000002,hl,keypress(j),100,false,174995.39999997616,174995.09999996424,162236.439,162441.59999996424,162253.105,174819.737,1,16,9,
sequence,flow.Sequence,4_8,2023-11-17T20:05:10.363Z,,,,,,,,,,,12741.994999964227,completion,,,,,,,high,low,,,,,,true,,,,,false,174996,174995.09999996424,162236.439,162441.5,162253.105,174819.737,1,16,,
trial,html.Screen,4_9_0,2023-11-17T20:05:15.570Z,,,,0,-1.064425982109969,0.958564243697126,,,true,hl,5383.562999952323,response,0.8588347582642082,1.2,-1.2,-0.8899503828496784,1.2,-1.2,high,low,,ISIC_3203344.JPG,,ISIC_0174983.JPG,33,true,0.3600000000000002,hl,keypress(j),100,false,180203.59999996424,180203.29999995232,174786.472,174996.19999998808,174819.737,180019.756,1,16,10,
sequence,flow.Sequence,4_9,2023-11-17T20:05:15.571Z,,,,,,,,,,,5383.562999952323,completion,,,,,,,high,low,,,,,,true,,,,,false,180204.29999995232,180203.29999995232,174786.472,174996.09999996424,174819.737,180019.756,1,16,,
trial,html.Screen,4_10_0,2023-11-17T20:05:20.794Z,,,,0,-0.8644465729542988,0.8679598285079457,,,true,hl,5406.744000000006,response,1.2043484010107477,1.2,-1.2,-1.2178113180138233,1.2,-1.2,high,low,,ISIC_6718969.JPG,,ISIC_0011917.JPG,33,true,0.3600000000000002,hl,keypress(j),100,false,185426.79999995232,185426.5,180003.102,180204.39999997616,180019.756,185236.352,1,16,11,
sequence,flow.Sequence,4_10,2023-11-17T20:05:20.794Z,,,,,,,,,,,5406.744000000006,completion,,,,,,,high,low,,,,,,true,,,,,false,185427.29999995232,185426.5,180003.102,180204.39999997616,180019.756,185236.352,1,16,,
trial,html.Screen,4_11_0,2023-11-17T20:05:23.056Z,,,,0,-1.3559315773956395,0.924768326187701,,,true,hl,2452.6479999999865,response,0.8709576717420565,1.2,-1.2,-1.2795156779072283,1.2,-1.2,high,low,,ISIC_5101111.JPG,,ISIC_1925632.JPG,33,true,0.3600000000000002,hl,keypress(j),100,false,187689.29999995232,187689,185219.767,185427.5,185236.352,187503.303,1,16,12,
