sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-29T15:33:30.923Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1680,""screen_height"":1050,""scroll_width"":825,""scroll_height"":888,""window_innerWidth"":825,""window_innerHeight"":936,""devicePixelRatio"":1}",,,,,,,,,,35511.393,response,,,,,,,,,,,,,,,,,consent,click button,,,36373.5,36364.5,836.329,1065.4000000953674,853.107,36138.398,,,,{}
Demography form,html.Form,1,2023-11-29T15:33:35.946Z,,,18,,,,,,,,5258.302000047683,form submission,,,,,,,,,female,,,,,,,,,,,,41396.90000009537,41396.700000047684,36121.895,36373.90000009537,36138.398,41181.748,,,,
Welcome,html.Screen,2,2023-11-29T15:34:33.283Z,,,,,,,"[""bor"",""col""]",,,,57550.752,response,,,,,,,,,,,,,,,,,continue,click button,,,98733.10000014305,98732.5,41164.879,41397,41181.748,98509.799,,,,
demo_instructions,html.Screen,3,2023-11-29T15:35:15.867Z,,,,,,,,,,,42806.701,response,,,,,,,,,,,,,,,,,continue,click button,,,141317,141316.5,98493.195,98733.30000019073,98509.799,141092.687,,,,
trial,html.Screen,4_0_0,2023-11-29T15:35:23.602Z,,,,0,-1.268445326285509,-1.173734476257662,,,true,hh,7959.312999999995,response,1.160746324899676,1.2,-1.2,1.1927876559115576,1.2,-1.2,high,high,,ISIC_5216586.JPG,,ISIC_8651053.JPG,,25,true,0.14,hh,keypress(i),100,false,149052.10000014305,149052,141076.104,141317.20000004768,141092.687,148841.313,1,16,1,
sequence,flow.Sequence,4_0,2023-11-29T15:35:23.609Z,,,,,,,,,,,7959.312999999995,completion,,,,,,,high,high,,,,,,,true,,,,,false,149059,149052,141076.104,141317.10000014305,141092.687,148841.313,1,16,,
trial,html.Screen,4_1_0,2023-11-29T15:35:34.642Z,,,,0,-1.1243896694621007,-1.1772340944704969,,,true,hh,11249.887000047689,response,1.109799097093339,1.2,-1.2,1.091507924157762,1.2,-1.2,high,high,,ISIC_0062765.JPG,,ISIC_0765584.JPG,,25,true,0.14,hh,keypress(i),100,false,160091.80000019073,160091.20000004768,148824.434,149059.10000014305,148841.313,159879.3,1,16,2,
sequence,flow.Sequence,4_1,2023-11-29T15:35:34.643Z,,,,,,,,,,,11249.887000047689,completion,,,,,,,high,high,,,,,,,true,,,,,false,160092.5,160091.20000004768,148824.434,149059,148841.313,159879.3,1,16,,
trial,html.Screen,4_2_0,2023-11-29T15:35:39.849Z,,,,0,-1.186629690487006,-1.3269945600040771,,,true,hh,5418.900000047695,response,1.252716660627398,1.2,-1.2,1.183977080937476,1.2,-1.2,high,high,,ISIC_0015390.JPG,,ISIC_0034194.JPG,,25,true,0.14,hh,keypress(i),100,false,165298.80000019073,165298.20000004768,159862.66,160092.90000009537,159879.3,165089.446,1,16,3,
sequence,flow.Sequence,4_2,2023-11-29T15:35:39.850Z,,,,,,,,,,,5418.900000047695,completion,,,,,,,high,high,,,,,,,true,,,,,false,165299.60000014305,165298.20000004768,159862.66,160092.80000019073,159879.3,165089.446,1,16,,
trial,html.Screen,4_3_0,2023-11-29T15:35:44.353Z,,,,0,-1.0769708994456726,-1.2196503533725178,,,true,hh,4712.754000047687,response,1.2946277435220357,1.2,-1.2,1.255157480204324,1.2,-1.2,high,high,,ISIC_0063824.JPG,,ISIC_1870309.JPG,,25,true,0.14,hh,keypress(i),100,false,169802.80000019073,169802.20000004768,165072.759,165300,165089.446,169598.421,1,16,4,
sequence,flow.Sequence,4_3,2023-11-29T15:35:44.354Z,,,,,,,,,,,4712.754000047687,completion,,,,,,,high,high,,,,,,,true,,,,,false,169803.5,169802.20000004768,165072.759,165299.90000009537,165089.446,169598.421,1,16,,
trial,html.Screen,4_4_0,2023-11-29T15:35:56.823Z,,,,0,1.2100527057059796,1.2159112471537263,,,true,ll,12674.379000190733,response,-1.082709423673037,1.2,-1.2,-1.1184338818466155,1.2,-1.2,low,low,,ISIC_0008055.JPG,,ISIC_0058666.JPG,,30,true,0.13,ll,keypress(f),100,false,182273.30000019073,182272.80000019073,169581.54,169803.80000019073,169598.421,182055.768,1,16,5,
sequence,flow.Sequence,4_4,2023-11-29T15:35:56.824Z,,,,,,,,,,,12674.379000190733,completion,,,,,,,low,low,,,,,,,true,,,,,false,182274.20000004768,182272.80000019073,169581.54,169803.70000004768,169598.421,182055.768,1,16,,
trial,html.Screen,4_5_0,2023-11-29T15:36:04.290Z,,,,0,1.1870093485714288,1.3339880978442629,,,true,ll,7682.6320000953565,response,-1.0773466327271526,1.2,-1.2,-1.1601445610079184,1.2,-1.2,low,low,,ISIC_8592235.JPG,,ISIC_0055169.JPG,,40,true,0.14,ll,keypress(f),100,false,189739,189738.40000009537,182039.124,182274.5,182055.768,189520.344,1,16,6,
sequence,flow.Sequence,4_5,2023-11-29T15:36:04.291Z,,,,,,,,,,,7682.6320000953565,completion,,,,,,,low,low,,,,,,,true,,,,,false,189739.60000014305,189738.40000009537,182039.124,182274.40000009537,182055.768,189520.344,1,16,,
trial,html.Screen,4_6_0,2023-11-29T15:36:07.991Z,,,,0,1.274752206258116,1.2988509166163749,,,true,ll,3919.2560001430393,response,-1.0653732408486678,1.2,-1.2,-1.089675540151582,1.2,-1.2,low,low,,ISIC_6704623.JPG,,ISIC_0058315.JPG,,40,true,0.14,ll,keypress(f),100,false,193440,193439.60000014305,189503.702,189739.90000009537,189520.344,193227.532,1,16,7,
sequence,flow.Sequence,4_6,2023-11-29T15:36:07.992Z,,,,,,,,,,,3919.2560001430393,completion,,,,,,,low,low,,,,,,,true,,,,,false,193440.70000004768,193439.60000014305,189503.702,189739.80000019073,189520.344,193227.532,1,16,,
