sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-30T18:22:22.915Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1920,""screen_height"":1080,""scroll_width"":945,""scroll_height"":918,""window_innerWidth"":945,""window_innerHeight"":966,""devicePixelRatio"":1}",,,,,,,,,,11793.718000047684,response,,,,,,,,,,,,,,,,,consent,click button,,,12388,12381.200000047684,570.706,558.0999999046326,587.482,12404.532,,,,{}
Demography form,html.Form,1,2023-11-30T18:22:31.218Z,,,21,,,,,,,,8286.968,form submission,,,,,,,,,male,,,,,,,,,,,,20691.599999904633,20691.5,12387.386,12388.299999952316,12404.532,20687.365,,,,
Welcome,html.Screen,2,2023-11-30T18:23:25.349Z,,,,,,,"[""bor"",""col""]",,,,54133.83500004768,response,,,,,,,,,,,,,,,,,continue,click button,,,74822,74821.20000004768,20670.702,20691.700000047684,20687.365,74837.486,,,,
demo_instructions,html.Screen,3,2023-11-30T18:24:17.756Z,,,,,,,,,,,52391.41400009536,response,,,,,,,,,,,,,,,,,continue,click button,,,127229.5,127228.90000009537,74820.809,74822.09999990463,74837.486,127254.35,,,,
trial,html.Screen,4_0_0,2023-11-30T18:24:30.077Z,,,,0,-1.1243896694621007,-1.1772340944704969,,,true,hh,12295.649999999994,response,1.274752206258116,1.2,-1.2,1.2988509166163749,1.2,-1.2,high,high,,ISIC_0062765.JPG,,ISIC_6704623.JPG,,25,true,0.14,hh,keypress(i),100,false,139550.20000004768,139550,127237.249,127229.59999990463,127254.35,139570.577,1,16,1,
sequence,flow.Sequence,4_0,2023-11-30T18:24:30.077Z,,,,,,,,,,,12295.649999999994,completion,,,,,,,high,high,,,,,,,true,,,,,false,139550.40000009537,139550,127237.249,127229.59999990463,127254.35,139570.577,1,16,,
trial,html.Screen,4_1_0,2023-11-30T18:24:35.010Z,,,,0,-1.1302628852630028,-1.288906469447243,,,true,hh,4912.022999904642,response,1.1989130276493527,1.2,-1.2,1.2666195460149832,1.2,-1.2,high,high,,ISIC_0071050.JPG,,ISIC_0031705.JPG,,25,true,0.14,hh,keypress(i),100,false,144482.79999995232,144482.59999990463,139553.931,139550.40000009537,139570.577,144503.919,1,16,2,
sequence,flow.Sequence,4_1,2023-11-30T18:24:35.010Z,,,,,,,,,,,4912.022999904642,completion,,,,,,,high,high,,,,,,,true,,,,,false,144483,144482.59999990463,139553.931,139550.40000009537,139570.577,144503.919,1,16,,
trial,html.Screen,4_2_0,2023-11-30T18:24:53.559Z,,,,0,-1.1048559518249943,-1.2252457981338687,,,true,hh,18527.680999904638,response,1.1989130276493527,1.2,-1.2,1.2666195460149832,1.2,-1.2,high,high,,ISIC_0060817.JPG,,ISIC_0031705.JPG,,25,true,0.14,hh,keypress(i),100,false,163031.79999995232,163031.59999990463,144487.307,144483.09999990463,144503.919,163053.884,1,16,3,
sequence,flow.Sequence,4_2,2023-11-30T18:24:53.559Z,,,,,,,,,,,18527.680999904638,completion,,,,,,,high,high,,,,,,,true,,,,,false,163032.09999990463,163031.59999990463,144487.307,144483.09999990463,144503.919,163053.884,1,16,,
trial,html.Screen,4_3_0,2023-11-30T18:25:00.269Z,,,,0,-1.1017564906891342,-1.293633394635193,,,true,hh,6687.616000000009,response,1.274417010249866,1.2,-1.2,1.0725495669014795,1.2,-1.2,high,high,,ISIC_0029026.JPG,,ISIC_8849004.JPG,,25,true,0.14,hh,keypress(i),100,false,169741.90000009537,169741.5,163037.418,163032.20000004768,163053.884,169770.648,1,16,4,
sequence,flow.Sequence,4_3,2023-11-30T18:25:00.269Z,,,,,,,,,,,6687.616000000009,completion,,,,,,,high,high,,,,,,,true,,,,,false,169742,169741.5,163037.418,163032.09999990463,163053.884,169770.648,1,16,,
trial,html.Screen,4_4_0,2023-11-30T18:25:07.825Z,,,,0,1.1843968275545205,1.2828739728067764,,,true,ll,7527.65199995233,response,-1.2691569063625474,1.2,-1.2,-1.1264228993232308,1.2,-1.2,low,low,,ISIC_0002901.JPG,,ISIC_4980656.JPG,,30,true,0.13,ll,keypress(f),100,false,177298.5,177298.29999995232,169754.126,169742.09999990463,169770.648,177320.516,1,16,5,
sequence,flow.Sequence,4_4,2023-11-30T18:25:07.826Z,,,,,,,,,,,7527.65199995233,completion,,,,,,,low,low,,,,,,,true,,,,,false,177298.59999990463,177298.29999995232,169754.126,169742.09999990463,169770.648,177320.516,1,16,,
trial,html.Screen,4_5_0,2023-11-30T18:25:17.815Z,,,,0,1.2600330864275875,1.0958628838888655,,,true,ll,9967.08399990463,response,-1.0769708994456726,1.2,-1.2,-1.2196503533725178,1.2,-1.2,low,low,,ISIC_0026996.JPG,,ISIC_0063824.JPG,,40,true,0.14,ll,keypress(f),100,false,187287.79999995232,187287.59999990463,177304.066,177298.79999995232,177320.516,187304.101,1,16,6,
