sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-29T16:44:25.460Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1920,""screen_height"":1080,""scroll_width"":945,""scroll_height"":918,""window_innerWidth"":945,""window_innerHeight"":966,""devicePixelRatio"":1}",,,,,,,,,,16144.179000047683,response,,,,,,,,,,,,,,,,,consent,click button,,,16940.10000014305,16930.700000047684,769.821,1018.7000000476837,786.521,16703.211,,,,{}
Demography form,html.Form,1,2023-11-29T16:44:32.131Z,,,18,,,,,,,,6908.389000143052,form submission,,,,,,,,,female,,,,,,,,,,,,23611.800000190735,23611.60000014305,16686.474,16940.300000190735,16703.211,23386.484,,,,
Welcome,html.Screen,2,2023-11-29T16:45:00.699Z,,,,,,,"[""asym"",""bor""]",,,,28792.016,response,,,,,,,,,,,,,,,,,continue,click button,,,52179.200000047684,52178.5,23369.79,23611.900000095367,23386.484,51936.363,,,,
demo_instructions,html.Screen,3,2023-11-29T16:46:54.252Z,,,,,,,,,,,113793.637,response,,,,,,,,,,,,,,,,,continue,click button,,,165730.60000014305,165730,51919.781,52179.200000047684,51936.363,165502.815,,,,
trial,html.Screen,4_0_0,2023-11-29T16:47:01.966Z,,,,0,-1.2249552940807693,-1.1723015116910682,,,true,hh,7940.9850001907325,response,1.3411179702686655,1.2,-1.2,1.255103311449152,1.2,-1.2,high,high,,ISIC_0055251.JPG,,ISIC_5611010.JPG,,26,true,0.15000000000000002,hh,keypress(i),100,false,173444.20000004768,173443.80000019073,165486.068,165730.80000019073,165502.815,173219.387,1,16,1,
sequence,flow.Sequence,4_0,2023-11-29T16:47:01.985Z,,,,,,,,,,,7940.9850001907325,completion,,,,,,,high,high,,,,,,,true,,,,,false,173463.20000004768,173443.80000019073,165486.068,165730.70000004768,165502.815,173219.387,1,16,,
trial,html.Screen,4_1_0,2023-11-29T16:47:10.890Z,,,,0,-1.2322060291690602,-1.2686491386389651,,,true,hh,9148.213000143063,response,1.131522954199764,1.2,-1.2,1.1047184491749509,1.2,-1.2,high,high,,ISIC_0011697.JPG,,ISIC_1868816.JPG,,26,true,0.15000000000000002,hh,keypress(i),100,false,182368.10000014305,182367.60000014305,173202.798,173463.40000009537,173219.387,182136.057,1,16,2,
sequence,flow.Sequence,4_1,2023-11-29T16:47:10.890Z,,,,,,,,,,,9148.213000143063,completion,,,,,,,high,high,,,,,,,true,,,,,false,182368.70000004768,182367.60000014305,173202.798,173463.40000009537,173219.387,182136.057,1,16,,
trial,html.Screen,4_2_0,2023-11-29T16:47:19.803Z,,,,0,-1.2169050727663315,-1.1067845563421794,,,true,hh,9145.743000190734,response,1.0870240111136478,1.2,-1.2,1.332340670965917,1.2,-1.2,high,high,,ISIC_7016261.JPG,,ISIC_0000660.JPG,,26,true,0.15000000000000002,hh,keypress(i),100,false,191282,191281.80000019073,182119.449,182369.10000014305,182136.057,191052.681,1,16,3,
sequence,flow.Sequence,4_2,2023-11-29T16:47:19.804Z,,,,,,,,,,,9145.743000190734,completion,,,,,,,high,high,,,,,,,true,,,,,false,191282.20000004768,191281.80000019073,182119.449,182369,182136.057,191052.681,1,16,,
