sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
sequence,flow.Sequence,4_6,2023-11-27T19:02:27.719Z,,,,,,,,,,,2322.2519999046344,completion,,,,,,,low,low,,,,,,,true,,,,,false,160169.5,160169.09999990463,157830.369,157832.09999990463,157846.848,160196.795,1,16,,
trial,html.Screen,4_7_0,2023-11-27T19:02:31.408Z,,,,0,1.1305948371148624,1.2802709447034604,,,true,ll,3662.0049999523035,response,-1.2435042401134029,1.2,-1.2,-1.2939710463315144,1.2,-1.2,low,low,,ISIC_5648111.JPG,,ISIC_0056119.JPG,,41,true,0.15000000000000002,ll,keypress(f),100,false,163859,163858.79999995232,160180.176,160169.59999990463,160196.795,163896.767,1,16,8,
sequence,flow.Sequence,4_7,2023-11-27T19:02:31.408Z,,,,,,,,,,,3662.0049999523035,completion,,,,,,,low,low,,,,,,,true,,,,,false,163859.09999990463,163858.79999995232,160180.176,160169.5,160196.795,163896.767,1,16,,
trial,html.Screen,4_8_0,2023-11-27T19:02:44.574Z,,,,0,0.8534691366511764,-1.276663727068437,,,true,lh,13127.532999952324,response,-1.2704198237183777,1.2,-1.2,1.138121072015301,1.2,-1.2,low,high,,ISIC_0056788.JPG,,ISIC_0501843.JPG,,26,true,0.3300000000000002,lh,keypress(e),100,false,177024.39999985695,177024.29999995232,163863.465,163859.09999990463,163896.767,177046.832,1,16,9,
sequence,flow.Sequence,4_8,2023-11-27T19:02:44.574Z,,,,,,,,,,,13127.532999952324,completion,,,,,,,low,high,,,,,,,true,,,,,false,177024.59999990463,177024.29999995232,163863.465,163859.09999990463,163896.767,177046.832,1,16,,
trial,html.Screen,4_9_0,2023-11-27T19:02:49.798Z,,,,0,1.4727776799485246,-0.8779113138076752,,,true,lh,5201.567999856954,response,-1.1592423187534993,1.2,-1.2,1.067128884093211,1.2,-1.2,low,high,,ISIC_0033074.JPG,,ISIC_6854940.JPG,,33,true,0.3600000000000002,lh,keypress(e),100,false,182248.59999990463,182248.39999985695,177030.156,177024.69999980927,177046.832,182280.138,1,16,10,
sequence,flow.Sequence,4_9,2023-11-27T19:02:49.798Z,,,,,,,,,,,5201.567999856954,completion,,,,,,,low,high,,,,,,,true,,,,,false,182248.79999995232,182248.39999985695,177030.156,177024.69999980927,177046.832,182280.138,1,16,,
trial,html.Screen,4_10_0,2023-11-27T19:02:54.214Z,,,,0,1.4748095371445096,-0.9579010801034902,,,true,lh,4384.561999809259,response,-1.055319394932912,1.2,-1.2,1.409116680310466,1.2,-1.2,low,high,,ISIC_0033216.JPG,,ISIC_6398669.JPG,,33,true,0.3600000000000002,lh,keypress(e),100,false,186664.79999995232,186664.69999980927,182263.47,182248.79999995232,182280.138,186696.959,1,16,11,
sequence,flow.Sequence,4_10,2023-11-27T19:02:54.214Z,,,,,,,,,,,4384.561999809259,completion,,,,,,,low,high,,,,,,,true,,,,,false,186665,186664.69999980927,182263.47,182248.79999995232,182280.138,186696.959,1,16,,
trial,html.Screen,4_11_0,2023-11-27T19:02:58.252Z,,,,0,1.0143509683988825,-1.0281980567462463,,,true,lh,4005.7409998092626,response,-1.0961318727760048,1.2,-1.2,1.2134960228256146,1.2,-1.2,low,high,,ISIC_0062031.JPG,,ISIC_9768421.JPG,,33,true,0.3600000000000002,lh,keypress(e),100,false,190702.89999985695,190702.69999980927,186680.157,186665.09999990463,186696.959,190730.259,1,16,12,
sequence,flow.Sequence,4_11,2023-11-27T19:02:58.252Z,,,,,,,,,,,4005.7409998092626,completion,,,,,,,low,high,,,,,,,true,,,,,false,190703.09999990463,190702.69999980927,186680.157,186665,186696.959,190730.259,1,16,,
trial,html.Screen,4_12_0,2023-11-27T19:03:07.315Z,,,,0,-1.1547137855907486,1.0185275168641534,,,true,hl,9034.741000000009,response,1.2838089642212804,1.2,-1.2,-0.8550527900640753,1.2,-1.2,high,low,,ISIC_7604870.JPG,,ISIC_0034187.JPG,,29,true,0.3600000000000002,hl,keypress(j),100,false,199765.19999980927,199765,190713.514,190703.19999980927,190730.259,199796.891,1,16,13,
sequence,flow.Sequence,4_12,2023-11-27T19:03:07.315Z,,,,,,,,,,,9034.741000000009,completion,,,,,,,high,low,,,,,,,true,,,,,false,199765.5,199765,190713.514,190703.19999980927,190730.259,199796.891,1,16,,
trial,html.Screen,4_13_0,2023-11-27T19:03:10.238Z,,,,0,-0.9046170303418553,1.0063426986460375,,,true,hl,2890.808999809262,response,1.225025174430573,1.2,-1.2,-0.8422679054456499,1.2,-1.2,high,low,,ISIC_0055759.JPG,,ISIC_7503950.JPG,,29,true,0.3600000000000002,hl,keypress(j),100,false,202687.89999985695,202687.69999980927,199780.2,199765.59999990463,199796.891,202713.536,1,16,14,
sequence,flow.Sequence,4_13,2023-11-27T19:03:10.238Z,,,,,,,,,,,2890.808999809262,completion,,,,,,,high,low,,,,,,,true,,,,,false,202688.09999990463,202687.69999980927,199780.2,199765.59999990463,199796.891,202713.536,1,16,,
trial,html.Screen,4_14_0,2023-11-27T19:03:14.252Z,,,,0,-1.1547137855907486,1.0185275168641534,,,true,hl,3988.06399990464,response,1.2615315960773072,1.2,-1.2,-1.194084675079932,1.2,-1.2,high,low,,ISIC_7604870.JPG,,ISIC_0010044.JPG,,29,true,0.3600000000000002,hl,keypress(j),100,false,206701.69999980927,206701.59999990463,202696.873,202688.19999980927,202713.536,206730.405,1,16,15,
sequence,flow.Sequence,4_14,2023-11-27T19:03:14.252Z,,,,,,,,,,,3988.06399990464,completion,,,,,,,high,low,,,,,,,true,,,,,false,206701.89999985695,206701.59999990463,202696.873,202688.19999980927,202713.536,206730.405,1,16,,
