sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-29T16:32:42.566Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1680,""screen_height"":1050,""scroll_width"":825,""scroll_height"":888,""window_innerWidth"":825,""window_innerHeight"":936,""devicePixelRatio"":1}",,,,,,,,,,25336.748999856947,response,,,,,,,,,,,,,,,,,consent,click button,,,26109.5,26100.89999985695,747.408,946.7000000476837,764.151,25913.112,,,,{}
Demography form,html.Form,1,2023-11-29T16:32:49.207Z,,,20,,,,,,,,6837.387999999999,form submission,,,,,,,,,male,,,,,,,,,,,,32750.599999904633,32750.5,25896.302,26109.799999952316,25913.112,32559.422,,,,
Welcome,html.Screen,2,2023-11-29T16:33:35.335Z,,,,,,,"[""bor"",""col""]",,,,46317.37799995232,response,,,,,,,,,,,,,,,,,continue,click button,,,78877.20000004768,78876.79999995232,32542.568,32750.700000047684,32559.422,78682.361,,,,
demo_instructions,html.Screen,3,2023-11-29T16:34:04.208Z,,,,,,,,,,,29066.538999856944,response,,,,,,,,,,,,,,,,,continue,click button,,,107749.39999985695,107748.89999985695,78665.702,78877.29999995232,78682.361,107555.116,,,,
trial,html.Screen,4_0_0,2023-11-29T16:34:19.141Z,,,,0,-1.136677654701082,-1.2647850993872314,,,true,hh,15127.183999952322,response,1.3379750533585932,1.2,-1.2,1.1671342614509763,1.2,-1.2,high,high,,ISIC_0015436.JPG,,ISIC_0063556.JPG,,25,true,0.14,hh,keypress(i),100,false,122682.39999985695,122682.29999995232,107538.557,107749.5,107555.116,122500.87,1,16,1,
sequence,flow.Sequence,4_0,2023-11-29T16:34:19.142Z,,,,,,,,,,,15127.183999952322,completion,,,,,,,high,high,,,,,,,true,,,,,false,122682.70000004768,122682.29999995232,107538.557,107749.5,107555.116,122500.87,1,16,,
trial,html.Screen,4_1_0,2023-11-29T16:34:26.589Z,,,,0,-1.136677654701082,-1.2647850993872314,,,true,hh,7628.729999904637,response,1.2804054832904397,1.2,-1.2,1.171271535505083,1.2,-1.2,high,high,,ISIC_0015436.JPG,,ISIC_7889838.JPG,,25,true,0.14,hh,keypress(i),100,false,130129.79999995232,130129.59999990463,122484.368,122682.70000004768,122500.87,129948.876,1,16,2,
sequence,flow.Sequence,4_1,2023-11-29T16:34:26.589Z,,,,,,,,,,,7628.729999904637,completion,,,,,,,high,high,,,,,,,true,,,,,false,130130,130129.59999990463,122484.368,122682.70000004768,122500.87,129948.876,1,16,,
trial,html.Screen,4_2_0,2023-11-29T16:34:29.892Z,,,,0,-1.1936751736668425,-1.2584308630745344,,,true,hh,3484.023999856945,response,1.2946277435220357,1.2,-1.2,1.255157480204324,1.2,-1.2,high,high,,ISIC_0061265.JPG,,ISIC_1870309.JPG,,25,true,0.14,hh,keypress(i),100,false,133433.09999990463,133432.89999985695,129932.048,130130.09999990463,129948.876,133255.157,1,16,3,
sequence,flow.Sequence,4_2,2023-11-29T16:34:29.893Z,,,,,,,,,,,3484.023999856945,completion,,,,,,,high,high,,,,,,,true,,,,,false,133433.59999990463,133432.89999985695,129932.048,130130.09999990463,129948.876,133255.157,1,16,,
