sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
trial,html.Screen,10_127_0,2024-07-09T00:03:56.354Z,,2,0.011387353,0.00549992,,0.05,TRUE,ll,1864.1,response,-1.110766058,0.884014411,-1.068611378,-1.031281821,1.097712791,-1.122485674,low,low,ISIC_8812621.JPG,9,ISIC_0069620.JPG,33,27,FALSE,0.1,ll,keypress(f),0,FALSE,1160984.3,1160984.2,1159105.158,1159113.8,1159120.1,1161002.8,5,600,8,,,
break,html.Screen,10_127_1,2024-07-09T00:03:56.355Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1160984.8,1160984.7,,1160984.4,,1161002.8,5,600,,,,
break_continue,html.Screen,10_127_2,2024-07-09T00:03:56.355Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1160985,1160984.9,,1160984.9,,1161002.8,5,600,,,,
sequence,flow.Sequence,10_127,2024-07-09T00:03:56.355Z,,,,,,,,,1864.8,completion,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1160985.1,1160984.9,1159105.158,1159113.8,1159120.1,1161002.8,5,600,,,,
trial,html.Screen,10_128_0,2024-07-09T00:04:01.283Z,,2,-0.038998803,-0.014321227,,0.05,FALSE,hl,4909.8,response,0.740115649,0.884014411,-1.068611378,-0.94165594,1.097712791,-1.122485674,high,low,ISIC_0064669.JPG,8,ISIC_0072429.JPG,33,29,FALSE,0.2,lh,keypress(e),0,FALSE,1165912.8,1165912.6,1160986.692,1160985.2,1161002.8,1165931.8,5,600,9,,,
break,html.Screen,10_128_1,2024-07-09T00:04:01.284Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1165913.7,1165913.6,,1165913,,1165931.8,5,600,,,,
break_continue,html.Screen,10_128_2,2024-07-09T00:04:01.284Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1165914.1,1165914,,1165913.8,,1165931.8,5,600,,,,
sequence,flow.Sequence,10_128,2024-07-09T00:04:01.284Z,,,,,,,,,4911.2,completion,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1165914.2,1165914,1160986.692,1160985.1,1161002.8,1165931.8,5,600,,,,
trial,html.Screen,10_129_0,2024-07-09T00:04:07.112Z,,2,0.034823437,-0.02368663,,0.05,TRUE,hl,5809.5,response,0.991282841,0.884014411,-1.068611378,-0.93979211,1.097712791,-1.122485674,high,low,ISIC_0011099.JPG,9,ISIC_0000463.JPG,33,29,FALSE,0.2,hl,keypress(j),0,FALSE,1171741.4,1171741.3,1165916.06,1165914.2,1165931.8,1171760.2,5,600,10,,,
break,html.Screen,10_129_1,2024-07-09T00:04:07.112Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1171742.1,1171741.9,,1171741.5,,1171760.2,5,600,,,,
break_continue,html.Screen,10_129_2,2024-07-09T00:04:07.113Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1171742.4,1171742.4,,1171742.2,,1171760.2,5,600,,,,
sequence,flow.Sequence,10_129,2024-07-09T00:04:07.113Z,,,,,,,,,5810.6,completion,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1171742.6,1171742.4,1165916.06,1165914.2,1165931.8,1171760.2,5,600,,,,
trial,html.Screen,10_130_0,2024-07-09T00:04:11.406Z,,2,0.011231072,-0.046904736,,0.05,FALSE,hl,4275.6,response,1.002626609,0.884014411,-1.068611378,-1.091327591,1.097712791,-1.122485674,high,low,ISIC_0068184.JPG,9,ISIC_0033520.JPG,33,29,FALSE,0.2,lh,keypress(e),0,FALSE,1176035.9,1176035.8,1171743.67,1171742.6,1171760.2,1176039.562,5,600,11,,,
break,html.Screen,10_130_1,2024-07-09T00:04:11.407Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1176036.4,1176036.4,,1176036,,1176039.562,5,600,,,,
break_continue,html.Screen,10_130_2,2024-07-09T00:04:11.407Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1176036.6,1176036.5,,1176036.5,,1176039.562,5,600,,,,
sequence,flow.Sequence,10_130,2024-07-09T00:04:11.407Z,,,,,,,,,4276.3,completion,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1176036.7,1176036.5,1171743.67,1171742.6,1171760.2,1176039.562,5,600,,,,
trial,html.Screen,10_131_0,2024-07-09T00:04:19.719Z,,2,0.036237607,0.047825071,,0.05,FALSE,lh,8308.738,response,-0.938866085,0.884014411,-1.068611378,0.795339487,1.097712791,-1.122485674,low,high,ISIC_6985114.JPG,9,ISIC_9291926.JPG,33,26,FALSE,0.31,hl,keypress(j),0,FALSE,1184348.5,1184348.3,1176039.562,1176036.8,1176039.562,1184366.5,5,600,12,,,
break,html.Screen,10_131_1,2024-07-09T00:04:19.719Z,,,,,,,,,NaN,,,,,,,,low,high,,,,,,FALSE,,,,,FALSE,1184349,1184349,,1184348.6,,1184366.5,5,600,,,,
break_continue,html.Screen,10_131_2,2024-07-09T00:04:19.720Z,,,,,,,,,NaN,,,,,,,,low,high,,,,,,FALSE,,,,,FALSE,1184349.3,1184349.3,,1184349.1,,1184366.5,5,600,,,,
sequence,flow.Sequence,10_131,2024-07-09T00:04:19.720Z,,,,,,,,,8309.738,completion,,,,,,,low,high,,,,,,FALSE,,,,,FALSE,1184349.4,1184349.3,1176039.562,1176036.8,1176039.562,1184366.5,5,600,,,,
trial,html.Screen,10_132_0,2024-07-09T00:04:22.273Z,,2,4.79192E-05,0.046265294,,0.05,TRUE,hh,2536.2,response,0.907160254,0.884014411,-1.068611378,1.073798503,1.097712791,-1.122485674,high,high,ISIC_0011507.JPG,8,ISIC_6676776.JPG,33,36,FALSE,0.1,hh,keypress(i),0,FALSE,1186902.8,1186902.7,1184351.396,1184349.4,1184366.5,1186914.1,5,600,13,,,
break,html.Screen,10_132_1,2024-07-09T00:04:22.274Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1186903.3,1186903.2,,1186903,,1186914.1,5,600,,,,
break_continue,html.Screen,10_132_2,2024-07-09T00:04:22.274Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1186903.5,1186903.4,,1186903.3,,1186914.1,5,600,,,,
sequence,flow.Sequence,10_132,2024-07-09T00:04:22.274Z,,,,,,,,,2536.9,completion,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1186903.6,1186903.4,1184351.396,1184349.4,1184366.5,1186914.1,5,600,,,,
trial,html.Screen,10_133_0,2024-07-09T00:04:24.021Z,,2,0.040933869,-0.007246271,,0.05,TRUE,hh,1736.5,response,0.787037338,0.884014411,-1.068611378,1.038510428,1.097712791,-1.122485674,high,high,ISIC_3608788.JPG,9,ISIC_0002162.JPG,33,36,FALSE,0.1,hh,keypress(i),0,FALSE,1188650.7,1188650.6,1186898.132,1186903.6,1186914.1,1188662.3,5,600,14,,,
break,html.Screen,10_133_1,2024-07-09T00:04:24.021Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1188651.1,1188651,,1188650.8,,1188662.3,5,600,,,,
break_continue,html.Screen,10_133_2,2024-07-09T00:04:24.022Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1188651.4,1188651.4,,1188651.2,,1188662.3,5,600,,,,
sequence,flow.Sequence,10_133,2024-07-09T00:04:24.022Z,,,,,,,,,1737.3,completion,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1188651.4,1188651.4,1186898.132,1186903.6,1186914.1,1188662.3,5,600,,,,
trial,html.Screen,10_134_0,2024-07-09T00:04:27.958Z,,2,0.027717858,-0.039558746,,0.05,FALSE,lh,3924.8,response,-0.923557177,0.884014411,-1.068611378,1.000808165,1.097712791,-1.122485674,low,high,ISIC_0010807.JPG,10,ISIC_8796632.JPG,33,26,FALSE,0.31,hh,keypress(i),0,FALSE,1192587.3,1192587.1,1188647.364,1188651.4,1188662.3,1192592.5,5,600,15,,,
break,html.Screen,10_134_1,2024-07-09T00:04:27.958Z,,,,,,,,,NaN,,,,,,,,low,high,,,,,,FALSE,,,,,FALSE,1192587.9,1192587.8,,1192587.4,,1192592.5,5,600,,,,
break_continue,html.Screen,10_134_2,2024-07-09T00:04:27.959Z,,,,,,,,,NaN,,,,,,,,low,high,,,,,,FALSE,,,,,FALSE,1192588.3,1192588.2,,1192588,,1192592.5,5,600,,,,
sequence,flow.Sequence,10_134,2024-07-09T00:04:27.959Z,,,,,,,,,3925.9,completion,,,,,,,low,high,,,,,,FALSE,,,,,FALSE,1192588.4,1192588.2,1188647.364,1188651.4,1188662.3,1192592.5,5,600,,,,
trial,html.Screen,10_135_0,2024-07-09T00:04:32.345Z,,2,-0.010785499,-0.047801042,,0.05,TRUE,hh,4381.9,response,0.960707763,0.884014411,-1.068611378,1.068260834,1.097712791,-1.122485674,high,high,ISIC_0010500.JPG,10,ISIC_0064763.JPG,33,36,FALSE,0.1,hh,keypress(i),0,FALSE,1196974.5,1196974.4,1192579.05,1192588.5,1192592.5,1196989.1,5,600,16,,,
break,html.Screen,10_135_1,2024-07-09T00:04:32.345Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1196975.1,1196975,,1196974.6,,1196989.1,5,600,,,,
break_continue,html.Screen,10_135_2,2024-07-09T00:04:32.346Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1196975.3,1196975.3,,1196975.2,,1196989.1,5,600,,,,
sequence,flow.Sequence,10_135,2024-07-09T00:04:32.346Z,,,,,,,,,4382.8,completion,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1196975.5,1196975.3,1192579.05,1192588.4,1192592.5,1196989.1,5,600,,,,
trial,html.Screen,10_136_0,2024-07-09T00:04:34.505Z,,2,0.034823437,-0.02368663,,0.05,TRUE,hh,2145.7,response,0.960707763,0.884014411,-1.068611378,1.068260834,1.097712791,-1.122485674,high,high,ISIC_0011099.JPG,8,ISIC_0064763.JPG,33,36,FALSE,0.1,hh,keypress(i),0,FALSE,1199134.9,1199134.8,1196972.5,1196975.5,1196989.1,1199137.68,5,600,17,,,
break,html.Screen,10_136_1,2024-07-09T00:04:34.506Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1199135.6,1199135.4,,1199135.1,,1199137.68,5,600,,,,
break_continue,html.Screen,10_136_2,2024-07-09T00:04:34.506Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1199135.9,1199135.8,,1199135.7,,1199137.68,5,600,,,,
sequence,flow.Sequence,10_136,2024-07-09T00:04:34.506Z,,,,,,,,,2146.7,completion,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1199136.1,1199135.8,1196972.5,1196975.5,1196989.1,1199137.68,5,600,,,,
trial,html.Screen,10_137_0,2024-07-09T00:04:41.056Z,,2,-0.005791476,-0.007466791,,0.05,FALSE,ll,6547.42,response,-1.091040409,0.884014411,-1.068611378,-1.119702461,1.097712791,-1.122485674,low,low,ISIC_0058723.JPG,9,ISIC_0067097.JPG,33,27,FALSE,0.1,hl,keypress(j),0,FALSE,1205685.2,1205685.1,1199137.68,1199136.1,1199137.68,1205698.3,5,600,18,,,
break,html.Screen,10_137_1,2024-07-09T00:04:41.056Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1205685.8,1205685.7,,1205685.3,,1205698.3,5,600,,,,
break_continue,html.Screen,10_137_2,2024-07-09T00:04:41.056Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1205686.1,1205686,,1205685.9,,1205698.3,5,600,,,,
sequence,flow.Sequence,10_137,2024-07-09T00:04:41.056Z,,,,,,,,,6548.32,completion,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1205686.1,1205686,1199137.68,1199136.1,1199137.68,1205698.3,5,600,,,,
trial,html.Screen,10_138_0,2024-07-09T00:04:46.452Z,,2,0.009709127,-0.041792132,,0.05,TRUE,ll,5383.1,response,-0.977784972,0.884014411,-1.068611378,-1.11781143,1.097712791,-1.122485674,low,low,ISIC_3967213.JPG,9,ISIC_3256887.JPG,33,27,FALSE,0.1,ll,keypress(f),0,FALSE,1211081.6,1211081.4,1205684.342,1205686.1,1205698.3,1211094.1,5,600,19,,,
break,html.Screen,10_138_1,2024-07-09T00:04:46.452Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1211082.1,1211082,,1211081.7,,1211094.1,5,600,,,,
break_continue,html.Screen,10_138_2,2024-07-09T00:04:46.453Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1211082.4,1211082.4,,1211082.2,,1211094.1,5,600,,,,
sequence,flow.Sequence,10_138,2024-07-09T00:04:46.453Z,,,,,,,,,5384.1,completion,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1211082.5,1211082.4,1205684.342,1205686.1,1205698.3,1211094.1,5,600,,,,
trial,html.Screen,10_139_0,2024-07-09T00:04:48.510Z,,2,-0.04565158,0.027356713,,0.05,TRUE,ll,2045.8,response,-1.101214462,0.884014411,-1.068611378,-1.184988351,1.097712791,-1.122485674,low,low,ISIC_0068610.JPG,10,ISIC_0064943.JPG,33,27,FALSE,0.1,ll,keypress(f),0,FALSE,1213139.9,1213139.9,1211078.822,1211082.6,1211094.1,1213142.3,5,600,20,,,
break,html.Screen,10_139_1,2024-07-09T00:04:48.511Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1213140.2,1213140.2,,1213140,,1213142.3,5,600,,,,
break_continue,html.Screen,10_139_2,2024-07-09T00:04:48.511Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1213140.4,1213140.3,,1213140.3,,1213142.3,5,600,,,,
sequence,flow.Sequence,10_139,2024-07-09T00:04:48.511Z,,,,,,,,,2046.2,completion,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1213140.5,1213140.3,1211078.822,1211082.6,1211094.1,1213142.3,5,600,,,,
trial,html.Screen,10_140_0,2024-07-09T00:04:51.872Z,,2,-0.008552098,0.046469116,,0.05,TRUE,hh,3359.4,response,0.94491115,0.884014411,-1.068611378,1.010545953,1.097712791,-1.122485674,high,high,ISIC_0758797.JPG,8,ISIC_0679494.JPG,33,36,FALSE,0.1,hh,keypress(i),0,FALSE,1216501.8,1216501.7,1213127.352,1213140.5,1213142.3,1216506.8,5,600,21,,,
break,html.Screen,10_140_1,2024-07-09T00:04:51.873Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1216502.5,1216502.3,,1216502,,1216506.8,5,600,,,,
break_continue,html.Screen,10_140_2,2024-07-09T00:04:51.873Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1216502.7,1216502.7,,1216502.5,,1216506.8,5,600,,,,
sequence,flow.Sequence,10_140,2024-07-09T00:04:51.873Z,,,,,,,,,3360.4,completion,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1216502.9,1216502.7,1213127.352,1213140.5,1213142.3,1216506.8,5,600,,,,
trial,html.Screen,10_141_0,2024-07-09T00:04:54.782Z,,2,-0.032909551,0.038289975,,0.05,TRUE,hh,2905.1,response,0.952512399,0.884014411,-1.068611378,1.07799412,1.097712791,-1.122485674,high,high,ISIC_8812781.JPG,10,ISIC_0009642.JPG,33,36,FALSE,0.1,hh,keypress(i),0,FALSE,1219412,1219411.9,1216506.8,1216502.9,1216506.8,1219420.4,5,600,22,,,
break,html.Screen,10_141_1,2024-07-09T00:04:54.783Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1219412.8,1219412.6,,1219412.2,,1219420.4,5,600,,,,
break_continue,html.Screen,10_141_2,2024-07-09T00:04:54.783Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1219413.1,1219413,,1219412.8,,1219420.4,5,600,,,,
sequence,flow.Sequence,10_141,2024-07-09T00:04:54.783Z,,,,,,,,,2906.2,completion,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1219413.2,1219413,1216506.8,1216502.9,1216506.8,1219420.4,5,600,,,,
trial,html.Screen,10_142_0,2024-07-09T00:04:59.808Z,,2,0.018804747,-0.028834693,,0.05,FALSE,ll,5016.8,response,-1.138381363,0.884014411,-1.068611378,-1.131931222,1.097712791,-1.122485674,low,low,ISIC_0014157.JPG,10,ISIC_6227397.JPG,33,27,FALSE,0.1,lh,keypress(e),0,FALSE,1224437.4,1224437.2,1219406.684,1219413.3,1219420.4,1224449.5,5,600,23,,,
break,html.Screen,10_142_1,2024-07-09T00:04:59.808Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1224438,1224437.9,,1224437.6,,1224449.5,5,600,,,,
break_continue,html.Screen,10_142_2,2024-07-09T00:04:59.809Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1224438.3,1224438.2,,1224438,,1224449.5,5,600,,,,
sequence,flow.Sequence,10_142,2024-07-09T00:04:59.809Z,,,,,,,,,5017.8,completion,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1224438.4,1224438.2,1219406.684,1219413.3,1219420.4,1224449.5,5,600,,,,
trial,html.Screen,10_143_0,2024-07-09T00:05:05.386Z,,2,-0.04565158,0.027356713,,0.05,TRUE,hl,5566,response,0.897927679,0.884014411,-1.068611378,-0.925374811,1.097712791,-1.122485674,high,low,ISIC_0068610.JPG,10,ISIC_4208361.JPG,33,29,FALSE,0.2,hl,keypress(j),0,FALSE,1230015.6,1230015.5,1224433.848,1224438.5,1224449.5,1230028.4,5,600,24,,,
break,html.Screen,10_143_1,2024-07-09T00:05:05.387Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1230016.3,1230016.1,,1230015.8,,1230028.4,5,600,,,,
break_continue,html.Screen,10_143_2,2024-07-09T00:05:05.387Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1230016.5,1230016.5,,1230016.3,,1230028.4,5,600,,,,
sequence,flow.Sequence,10_143,2024-07-09T00:05:05.387Z,,,,,,,,,5567,completion,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1230016.7,1230016.5,1224433.848,1224438.5,1224449.5,1230028.4,5,600,,,,
trial,html.Screen,10_144_0,2024-07-09T00:05:12.050Z,,2,0.018804747,-0.028834693,,0.05,FALSE,hl,6650.9,response,0.726500392,0.884014411,-1.068611378,-1.301639434,1.097712791,-1.122485674,high,low,ISIC_0014157.JPG,10,ISIC_0027684.JPG,33,29,FALSE,0.2,lh,keypress(e),0,FALSE,1236679.5,1236679.3,1230012.242,1230016.8,1230028.4,1236689.6,5,600,25,,,
break,html.Screen,10_144_1,2024-07-09T00:05:12.050Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1236679.8,1236679.7,,1236679.5,,1236689.6,5,600,,,,
break_continue,html.Screen,10_144_2,2024-07-09T00:05:12.051Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1236680.2,1236680.1,,1236679.9,,1236689.6,5,600,,,,
sequence,flow.Sequence,10_144,2024-07-09T00:05:12.051Z,,,,,,,,,6651.7,completion,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1236680.3,1236680.1,1230012.242,1230016.8,1230028.4,1236689.6,5,600,,,,
trial,html.Screen,10_145_0,2024-07-09T00:05:13.907Z,,2,-0.008552098,0.046469116,,0.05,TRUE,hh,1846.7,response,0.978645773,0.884014411,-1.068611378,1.118905639,1.097712791,-1.122485674,high,high,ISIC_0758797.JPG,9,ISIC_3926019.JPG,33,36,FALSE,0.1,hh,keypress(i),0,FALSE,1238536.5,1238536.3,1236674.71,1236680.3,1236689.6,1238555.2,5,600,26,,,
break,html.Screen,10_145_1,2024-07-09T00:05:13.907Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1238537.1,1238537,,1238536.7,,1238555.2,5,600,,,,
break_continue,html.Screen,10_145_2,2024-07-09T00:05:13.908Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1238537.5,1238537.4,,1238537.2,,1238555.2,5,600,,,,
sequence,flow.Sequence,10_145,2024-07-09T00:05:13.908Z,,,,,,,,,1847.8,completion,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1238537.6,1238537.4,1236674.71,1236680.3,1236689.6,1238555.2,5,600,,,,
trial,html.Screen,10_146_0,2024-07-09T00:05:21.865Z,,2,4.79192E-05,0.046265294,,0.05,TRUE,hl,7939,response,0.713324303,0.884014411,-1.068611378,-0.957509018,1.097712791,-1.122485674,high,low,ISIC_0011507.JPG,9,ISIC_1369273.JPG,33,29,FALSE,0.2,hl,keypress(j),0,FALSE,1246494.4,1246494.2,1238539.56,1238537.6,1238555.2,1246498,5,600,27,,,
break,html.Screen,10_146_1,2024-07-09T00:05:21.865Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1246495,1246494.9,,1246494.6,,1246498,5,600,,,,
break_continue,html.Screen,10_146_2,2024-07-09T00:05:21.866Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1246495.4,1246495.3,,1246495.1,,1246498,5,600,,,,
sequence,flow.Sequence,10_146,2024-07-09T00:05:21.866Z,,,,,,,,,7940.1,completion,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1246495.4,1246495.3,1238539.56,1238537.6,1238555.2,1246498,5,600,,,,
trial,html.Screen,10_147_0,2024-07-09T00:05:23.581Z,,2,0.018804747,-0.028834693,,0.05,TRUE,hh,1712.3,response,0.913084438,0.884014411,-1.068611378,1.135180301,1.097712791,-1.122485674,high,high,ISIC_0014157.JPG,9,ISIC_8637134.JPG,33,36,FALSE,0.1,hh,keypress(i),0,FALSE,1248210.5,1248210.3,1246486.708,1246495.5,1246498,1248214.472,5,600,28,,,
break,html.Screen,10_147_1,2024-07-09T00:05:23.582Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1248211.1,1248211,,1248210.7,,1248214.472,5,600,,,,
break_continue,html.Screen,10_147_2,2024-07-09T00:05:23.582Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1248211.5,1248211.4,,1248211.2,,1248214.472,5,600,,,,
sequence,flow.Sequence,10_147,2024-07-09T00:05:23.582Z,,,,,,,,,1713.4,completion,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1248211.6,1248211.4,1246486.708,1246495.5,1246498,1248214.472,5,600,,,,
trial,html.Screen,10_148_0,2024-07-09T00:05:25.543Z,,2,-0.010785499,-0.047801042,,0.05,TRUE,hh,1958.128,response,0.80939235,0.884014411,-1.068611378,1.102485544,1.097712791,-1.122485674,high,high,ISIC_0010500.JPG,9,ISIC_1208705.JPG,33,36,FALSE,0.1,hh,keypress(i),0,FALSE,1250172.8,1250172.6,1248214.472,1248211.7,1248214.472,1250178.3,5,600,29,,,
break,html.Screen,10_148_1,2024-07-09T00:05:25.544Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1250173.5,1250173.4,,1250172.8,,1250178.3,5,600,,,,
break_continue,html.Screen,10_148_2,2024-07-09T00:05:25.544Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1250174,1250173.8,,1250173.6,,1250178.3,5,600,,,,
sequence,flow.Sequence,10_148,2024-07-09T00:05:25.544Z,,,,,,,,,1959.328,completion,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1250174,1250173.8,1248214.472,1248211.6,1248214.472,1250178.3,5,600,,,,
trial,html.Screen,10_149_0,2024-07-09T00:05:34.906Z,,2,0.027717858,-0.039558746,,0.05,FALSE,ll,9357,response,-0.977784972,0.884014411,-1.068611378,-1.11781143,1.097712791,-1.122485674,low,low,ISIC_0010807.JPG,10,ISIC_3256887.JPG,33,27,FALSE,0.1,lh,keypress(e),0,FALSE,1259535.5,1259535.3,1250162.902,1250174.1,1250178.3,1259554.8,5,600,30,,,
break,html.Screen,10_149_1,2024-07-09T00:05:34.907Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1259536.2,1259536,,1259535.7,,1259554.8,5,600,,,,
break_continue,html.Screen,10_149_2,2024-07-09T00:05:34.907Z,,,,,,,,,NaN,,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1259536.6,1259536.5,,1259536.3,,1259554.8,5,600,,,,
sequence,flow.Sequence,10_149,2024-07-09T00:05:34.907Z,,,,,,,,,9358.2,completion,,,,,,,low,low,,,,,,FALSE,,,,,FALSE,1259536.8,1259536.5,1250162.902,1250174.1,1250178.3,1259554.8,5,600,,,,
trial,html.Screen,10_150_0,2024-07-09T00:05:39.982Z,,2,0.011387353,0.00549992,,0.05,TRUE,hl,5056.3,response,0.897927679,0.884014411,-1.068611378,-0.925374811,1.097712791,-1.122485674,high,low,ISIC_8812621.JPG,9,ISIC_4208361.JPG,33,29,FALSE,0.2,hl,keypress(j),0,FALSE,1264611.3,1264611.1,1259538.38,1259536.8,1259554.8,1264616.3,5,600,31,,,
break,html.Screen,10_150_1,2024-07-09T00:05:39.982Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1264612.1,1264611.9,,1264611.5,,1264616.3,5,600,,,,
break_continue,html.Screen,10_150_2,2024-07-09T00:05:39.983Z,,,,,,,,,NaN,,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1264612.4,1264612.3,,1264612.1,,1264616.3,5,600,,,,
sequence,flow.Sequence,10_150,2024-07-09T00:05:39.983Z,,,,,,,,,5057.5,completion,,,,,,,high,low,,,,,,FALSE,,,,,FALSE,1264612.5,1264612.3,1259538.38,1259536.8,1259554.8,1264616.3,5,600,,,,
trial,html.Screen,10_151_0,2024-07-09T00:05:41.932Z,,2,-0.03972838,0.022870113,,0.05,TRUE,hh,1944.9,response,0.960707763,0.884014411,-1.068611378,1.068260834,1.097712791,-1.122485674,high,high,ISIC_0054073.JPG,9,ISIC_0064763.JPG,33,36,FALSE,0.1,hh,keypress(i),0,FALSE,1266561.4,1266561.2,1264603.556,1264612.5,1264616.3,1266566.256,5,600,32,,,
break,html.Screen,10_151_1,2024-07-09T00:05:41.932Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1266561.9,1266561.7,,1266561.5,,1266566.256,5,600,,,,
break_continue,html.Screen,10_151_2,2024-07-09T00:05:41.933Z,,,,,,,,,NaN,,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1266562.2,1266562.1,,1266561.9,,1266566.256,5,600,,,,
sequence,flow.Sequence,10_151,2024-07-09T00:05:41.933Z,,,,,,,,,1945.8,completion,,,,,,,high,high,,,,,,FALSE,,,,,FALSE,1266562.2,1266562.1,1264603.556,1264612.5,1264616.3,1266566.256,5,600,,,,
