sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
trial,html.Screen,4_7_0,2024-07-08T23:46:08.987Z,,0,1.270644758,1.090330801,,,TRUE,ll,1872.9,response,-1.25525682,1.2,-1.2,-1.120642643,1.2,-1.2,low,low,ISIC_9425937.JPG,,ISIC_0024652.JPG,,53,TRUE,0.15,ll,keypress(f),100,FALSE,93617.2,93617.1,91727.4,91720.6,91744.2,93642.7,1,16,8,,,
sequence,flow.Sequence,4_7,2024-07-08T23:46:08.987Z,,,,,,,,,1872.9,completion,,,,,,,low,low,,,,,,TRUE,,,,,FALSE,93617.4,93617.1,91727.4,91720.5,91744.2,93642.7,1,16,,,,
trial,html.Screen,4_8_0,2024-07-08T23:46:15.492Z,,0,0.853469137,-1.039755805,,,TRUE,lh,6479.4,response,-0.780994986,1.2,-1.2,0.849386112,1.2,-1.2,low,high,ISIC_0056788.JPG,,ISIC_7450481.JPG,,27,TRUE,0.42,lh,keypress(e),100,FALSE,100122.3,100122.1,93626.066,93617.4,93642.7,100153.8,1,16,9,,,
sequence,flow.Sequence,4_8,2024-07-08T23:46:15.493Z,,,,,,,,,6479.4,completion,,,,,,,low,high,,,,,,TRUE,,,,,FALSE,100122.5,100122.1,93626.066,93617.4,93642.7,100153.8,1,16,,,,
trial,html.Screen,4_9_0,2024-07-08T23:46:20.585Z,,0,0.991282841,-0.93979211,,,TRUE,lh,5061.1,response,-0.894761108,1.2,-1.2,0.896096451,1.2,-1.2,low,high,ISIC_0000463.JPG,,ISIC_6441128.JPG,,27,TRUE,0.42,lh,keypress(e),100,FALSE,105215.1,105214.9,100137.398,100122.6,100153.8,105233,1,16,10,,,
sequence,flow.Sequence,4_9,2024-07-08T23:46:20.585Z,,,,,,,,,5061.1,completion,,,,,,,low,high,,,,,,TRUE,,,,,FALSE,105215.4,105214.9,100137.398,100122.6,100153.8,105233,1,16,,,,
trial,html.Screen,4_10_0,2024-07-08T23:46:30.284Z,,0,1.269550955,-0.964109968,,,TRUE,lh,9681,response,-0.783371001,1.2,-1.2,0.931558809,1.2,-1.2,low,high,ISIC_0025841.JPG,,ISIC_3826102.JPG,,27,TRUE,0.42,lh,keypress(e),100,FALSE,114914.1,114914,105216.4,105215.5,105233,114941.8,1,16,11,,,
sequence,flow.Sequence,4_10,2024-07-08T23:46:30.284Z,,,,,,,,,9681,completion,,,,,,,low,high,,,,,,TRUE,,,,,FALSE,114914.3,114914,105216.4,105215.5,105233,114941.8,1,16,,,,
trial,html.Screen,4_11_0,2024-07-08T23:46:33.775Z,,0,1.002626609,-1.091327591,,,TRUE,lh,3462.8,response,-0.938866085,1.2,-1.2,0.795339487,1.2,-1.2,low,high,ISIC_0033520.JPG,,ISIC_9291926.JPG,,27,TRUE,0.42,lh,keypress(e),100,FALSE,118404.8,118404.6,114925.232,114914.3,114941.8,118422.26,1,16,12,,,
sequence,flow.Sequence,4_11,2024-07-08T23:46:33.775Z,,,,,,,,,3462.8,completion,,,,,,,low,high,,,,,,TRUE,,,,,FALSE,118405.1,118404.6,114925.232,114914.3,114941.8,118422.26,1,16,,,,
trial,html.Screen,4_12_0,2024-07-08T23:46:38.673Z,,0,-0.820096201,0.793605164,,,TRUE,hl,4880.94,response,0.969611853,1.2,-1.2,-0.924414828,1.2,-1.2,high,low,ISIC_0027031.JPG,,ISIC_7927525.JPG,,26,TRUE,0.36,hl,keypress(j),100,FALSE,123303.4,123303.2,118422.26,118405.2,118422.26,123334.8,1,16,13,,,
sequence,flow.Sequence,4_12,2024-07-08T23:46:38.674Z,,,,,,,,,4880.94,completion,,,,,,,high,low,,,,,,TRUE,,,,,FALSE,123304,123303.2,118422.26,118405.2,118422.26,123334.8,1,16,,,,
trial,html.Screen,4_13_0,2024-07-08T23:46:42.665Z,,0,-0.809764442,1.005337148,,,TRUE,hl,3959.7,response,0.84874291,1.2,-1.2,-0.97782578,1.2,-1.2,high,low,ISIC_2379379.JPG,,ISIC_4554863.JPG,,33,TRUE,0.42,hl,keypress(j),100,FALSE,127294.8,127294.5,123318.166,123304.2,123334.8,127314.8,1,16,14,,,
sequence,flow.Sequence,4_13,2024-07-08T23:46:42.665Z,,,,,,,,,3959.7,completion,,,,,,,high,low,,,,,,TRUE,,,,,FALSE,127294.9,127294.5,123318.166,123304.2,123334.8,127314.8,1,16,,,,
