sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-14T21:34:58.708Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1680,""screen_height"":1050,""scroll_width"":825,""scroll_height"":888,""window_innerWidth"":825,""window_innerHeight"":936,""devicePixelRatio"":1}",,,,,,,,,48197.823,response,,,,,,,,,,,,,,,consent,click button,,,48821.30000001192,48812,597.367,807.3000000119209,614.177,48607.407,,,,{}
Demography form,html.Form,1,2023-11-14T21:35:05.092Z,,,19,,,,,,,6597.29299998808,form submission,,,,,,,,,female,,,,,,,,,,55204.89999997616,55204.69999998808,48590.99,48821.59999996424,48607.407,55003.193,,,,
Welcome,html.Screen,2,2023-11-14T21:35:34.659Z,,,,,,,"[""asym"",""bor""]",,,29768.807,response,,,,,,,,,,,,,,,continue,click button,,,84772.59999996424,84772,54986.748,55204.89999997616,55003.193,84577.439,,,,
demo_instructions,html.Screen,3,2023-11-14T21:36:00.659Z,,,,,,,,,,26194.66099996424,response,,,,,,,,,,,,,,,continue,click button,,,110772.69999998808,110772.09999996424,84560.892,84772.69999998808,84577.439,110577.939,,,,
trial,html.Screen,4_0_0,2023-11-14T21:36:14.981Z,,,,0,0.948927472020595,-1.0660437155921598,,true,lh,14515.76099998808,response,-0.991282840649944,1.0499999999999998,-1.0499999999999998,0.9397921099839784,1.0499999999999998,-1.0499999999999998,low,high,,ISIC_5808758.JPG,,ISIC_0000463.JPG,21,true,lh,keypress(e),100,false,125093.89999997616,125093.69999998808,110561.348,110772.80000001192,110577.939,124906.033,1,16,1,
sequence,flow.Sequence,4_0,2023-11-14T21:36:14.981Z,,,,,,,,,,14515.76099998808,completion,,,,,,,low,high,,,,,,true,,,,false,125094.19999998808,125093.69999998808,110561.348,110772.80000001192,110577.939,124906.033,1,16,,
trial,html.Screen,4_1_0,2023-11-14T21:36:35.049Z,,,,0,1.0213365328004047,-1.088524359911891,,true,lh,20255.267000011925,response,-0.9696118525781644,1.0499999999999998,-1.0499999999999998,0.9244148283103414,1.0499999999999998,-1.0499999999999998,low,high,,ISIC_5434229.JPG,,ISIC_7927525.JPG,21,true,lh,keypress(e),100,false,145162,145161.30000001192,124889.111,125094.19999998808,124906.033,144978.308,1,16,2,
sequence,flow.Sequence,4_1,2023-11-14T21:36:35.050Z,,,,,,,,,,20255.267000011925,completion,,,,,,,low,high,,,,,,true,,,,false,145162.69999998808,145161.30000001192,124889.111,125094.19999998808,124906.033,144978.308,1,16,,
trial,html.Screen,4_2_0,2023-11-14T21:36:55.815Z,,,,0,0.8947611078712571,-0.8960964505004638,,true,lh,20948.791999964247,response,-1.2331439637486756,1.0499999999999998,-1.0499999999999998,0.9691143900156988,1.0499999999999998,-1.0499999999999998,low,high,,ISIC_6441128.JPG,,ISIC_7877488.JPG,21,true,lh,keypress(e),100,false,165927.69999998808,165927.09999996424,144961.576,145163.19999998808,144978.308,165752.091,1,16,3,
sequence,flow.Sequence,4_2,2023-11-14T21:36:55.816Z,,,,,,,,,,20948.791999964247,completion,,,,,,,low,high,,,,,,true,,,,false,165928.69999998808,165927.09999996424,144961.576,145163.09999996424,144978.308,165752.091,1,16,,
