sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
trial,html.Screen,3_7_0,2023-11-13T15:24:41.728Z,,0,0.074578921,-0.019199959,,TRUE,ll,5694.501,response,-1.08466354,1.05,-1.05,-1.163833464,1.05,-1.05,low,low,ISIC_4024062.JPG,,ISIC_4718313.JPG,86,TRUE,ll,keypress(f),100,FALSE,1519020.7,1519020.2,1513309.265,1513399,1513325.699,1518947.328,1,16,8,,,
sequence,flow.Sequence,3_7,2023-11-13T15:24:41.728Z,,,,,,,,5694.501,completion,,,,,,,low,low,,,,,TRUE,,,,FALSE,1519021.3,1519020.2,1513309.265,1513398.9,1513325.699,1518947.328,1,16,,,,
trial,html.Screen,3_8_0,2023-11-13T15:24:50.503Z,,0,0.06153559,-0.024524679,,FALSE,hl,8848.072,response,0.958564244,1,-1,-1.064425982,1,-1,high,low,ISIC_0034144.JPG,,ISIC_3203344.JPG,24,TRUE,ll,keypress(f),100,FALSE,1527795.9,1527795.4,1518930.315,1519021.6,1518947.328,1527721.179,1,16,9,,,
sequence,flow.Sequence,3_8,2023-11-13T15:24:50.504Z,,,,,,,,8848.072,completion,,,,,,,high,low,,,,,TRUE,,,,FALSE,1527796.7,1527795.4,1518930.315,1519021.4,1518947.328,1527721.179,1,16,,,,
trial,html.Screen,3_9_0,2023-11-13T15:24:58.559Z,,0,0.055819459,-0.073342595,,TRUE,hl,8129.921,response,0.974554803,1,-1,-0.877937498,1,-1,high,low,ISIC_0026756.JPG,,ISIC_2991354.JPG,24,TRUE,hl,keypress(j),100,FALSE,1535851.5,1535851.1,1527704.25,1527797,1527721.179,1535777.856,1,16,10,,,
sequence,flow.Sequence,3_9,2023-11-13T15:24:58.559Z,,,,,,,,8129.921,completion,,,,,,,high,low,,,,,TRUE,,,,FALSE,1535852.3,1535851.1,1527704.25,1527796.9,1527721.179,1535777.856,1,16,,,,
trial,html.Screen,3_10_0,2023-11-13T15:25:04.406Z,,0,0.032829959,0.057231856,,TRUE,hl,5920.544,response,1.005421006,1,-1,-0.944511496,1,-1,high,low,ISIC_0397464.JPG,,ISIC_0033807.JPG,24,TRUE,hl,keypress(j),100,FALSE,1541698.9,1541698.4,1535760.91,1535852.5,1535777.856,1541632.721,1,16,11,,,
sequence,flow.Sequence,3_10,2023-11-13T15:25:04.407Z,,,,,,,,5920.544,completion,,,,,,,high,low,,,,,TRUE,,,,FALSE,1541699.6,1541698.4,1535760.91,1535852.5,1535777.856,1541632.721,1,16,,,,
trial,html.Screen,3_11_0,2023-11-13T15:25:11.741Z,,0,0.073617867,-0.0029979,,TRUE,hl,7400.179,response,1.005421006,1,-1,-0.944511496,1,-1,high,low,ISIC_9745038.JPG,,ISIC_0033807.JPG,24,TRUE,hl,keypress(j),100,FALSE,1549033.3,1549032.9,1541615.864,1541699.9,1541632.721,1548955.424,1,16,12,,,
sequence,flow.Sequence,3_11,2023-11-13T15:25:11.741Z,,,,,,,,7400.179,completion,,,,,,,high,low,,,,,TRUE,,,,FALSE,1549033.9,1549032.9,1541615.864,1541699.8,1541632.721,1548955.424,1,16,,,,
trial,html.Screen,3_12_0,2023-11-13T15:25:16.597Z,,0,-0.004877162,0.052352446,,TRUE,hh,4933.276,response,0.809013913,1,-1,1.104844248,1,-1,high,high,ISIC_0010379.JPG,,ISIC_0057539.JPG,154,TRUE,hh,keypress(i),100,FALSE,1553889.4,1553888.7,1548938.542,1549034.2,1548955.424,1553809.393,1,16,13,,,
sequence,flow.Sequence,3_12,2023-11-13T15:25:16.598Z,,,,,,,,4933.276,completion,,,,,,,high,high,,,,,TRUE,,,,FALSE,1553890.3,1553888.7,1548938.542,1549034.1,1548955.424,1553809.393,1,16,,,,
trial,html.Screen,3_13_0,2023-11-13T15:25:19.102Z,,0,-0.004877162,0.052352446,,TRUE,hh,2584.807,response,1.090690958,1,-1,1.001164707,1,-1,high,high,ISIC_0010379.JPG,,ISIC_0021901.JPG,154,TRUE,hh,keypress(i),100,FALSE,1556394.7,1556394.2,1553792.552,1553890.7,1553809.393,1556328.174,1,16,14,,,
sequence,flow.Sequence,3_13,2023-11-13T15:25:19.103Z,,,,,,,,2584.807,completion,,,,,,,high,high,,,,,TRUE,,,,FALSE,1556395.7,1556394.2,1553792.552,1553890.6,1553809.393,1556328.174,1,16,,,,
